Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
<a href=wins.aspx?date=2050-01-01&team=total&dh=0>2050-01-01</a>,- - -,- - -,- - -,- - -,24,89,102,29,22,4,0,3,13,8,11,2,23,1,1,0,3,7,1,.326
<a href=wins.aspx?date=2017-04-30&team=Astros&dh=0>2017-04-30</a>,HOU,OAK,3,2B,1,4,4,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.500
<a href=wins.aspx?date=2017-04-29&team=Astros&dh=0>2017-04-29</a>,HOU,OAK,3,2B,1,3,4,2,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,.667
<a href=wins.aspx?date=2017-04-28&team=Astros&dh=0>2017-04-28</a>,HOU,OAK,3,2B,1,4,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2017-04-27&team=Astros&dh=0>2017-04-27</a>,HOU,@CLE,9,PH,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.000
<a href=wins.aspx?date=2017-04-25&team=Astros&dh=0>2017-04-25</a>,HOU,@CLE,3,2B,1,3,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2017-04-23&team=Astros&dh=0>2017-04-23</a>,HOU,@TBR,3,2B,1,5,5,3,2,0,0,1,2,1,0,0,1,0,0,0,0,0,0,.600
<a href=wins.aspx?date=2017-04-22&team=Astros&dh=0>2017-04-22</a>,HOU,@TBR,3,2B,1,3,4,1,0,0,0,1,2,1,1,0,1,0,0,0,0,1,0,.333
<a href=wins.aspx?date=2017-04-21&team=Astros&dh=0>2017-04-21</a>,HOU,@TBR,3,2B,1,5,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.200
<a href=wins.aspx?date=2017-04-20&team=Astros&dh=0>2017-04-20</a>,HOU,LAA,3,2B,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2017-04-19&team=Astros&dh=0>2017-04-19</a>,HOU,LAA,3,2B,1,4,4,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,.250
<a href=wins.aspx?date=2017-04-18&team=Astros&dh=0>2017-04-18</a>,HOU,LAA,3,2B,1,4,4,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.500
<a href=wins.aspx?date=2017-04-17&team=Astros&dh=0>2017-04-17</a>,HOU,LAA,3,2B,1,3,4,1,0,1,0,0,0,2,0,0,1,0,1,0,0,0,0,.333
<a href=wins.aspx?date=2017-04-15&team=Astros&dh=0>2017-04-15</a>,HOU,@OAK,3,2B,1,4,5,1,1,0,0,0,1,1,1,0,1,0,0,0,0,2,0,.250
<a href=wins.aspx?date=2017-04-14&team=Astros&dh=0>2017-04-14</a>,HOU,@OAK,3,2B,1,3,5,3,1,2,0,0,2,0,2,0,0,0,0,0,0,1,0,1.000
<a href=wins.aspx?date=2017-04-12&team=Astros&dh=0>2017-04-12</a>,HOU,@SEA,3,2B,1,3,5,3,3,0,0,0,3,0,2,1,0,0,0,0,0,0,0,1.000
<a href=wins.aspx?date=2017-04-11&team=Astros&dh=0>2017-04-11</a>,HOU,@SEA,3,2B,1,5,5,2,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,.400
<a href=wins.aspx?date=2017-04-10&team=Astros&dh=0>2017-04-10</a>,HOU,@SEA,3,2B,1,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2017-04-09&team=Astros&dh=0>2017-04-09</a>,HOU,KCR,3,2B,1,5,6,2,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,.400
<a href=wins.aspx?date=2017-04-08&team=Astros&dh=0>2017-04-08</a>,HOU,KCR,3,2B,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250
<a href=wins.aspx?date=2017-04-07&team=Astros&dh=0>2017-04-07</a>,HOU,KCR,3,2B,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,.000
<a href=wins.aspx?date=2017-04-06&team=Astros&dh=0>2017-04-06</a>,HOU,SEA,3,2B,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,.250
<a href=wins.aspx?date=2017-04-05&team=Astros&dh=0>2017-04-05</a>,HOU,SEA,3,2B,1,6,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2017-04-04&team=Astros&dh=0>2017-04-04</a>,HOU,SEA,3,2B,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333
<a href=wins.aspx?date=2017-04-03&team=Astros&dh=0>2017-04-03</a>,HOU,SEA,3,2B,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.250

