Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerid
Aledmys Diaz,Cardinals,26,93,102,35,19,10,1,5,19,13,9,2,9,0,0,0,0,1,0,.376,15937
Dansby Swanson,Braves,25,90,101,30,23,5,0,2,12,14,8,5,23,0,2,1,1,1,0,.333,18314
Elvis Andrus,Rangers,35,120,137,39,24,12,1,2,22,19,13,1,15,1,2,1,2,7,3,.325,8709
Kevin Pillar,Blue Jays,41,148,162,48,36,11,0,1,16,17,11,0,21,0,1,2,0,3,2,.324,12434
Abraham Almonte,Indians,34,106,115,34,18,15,0,1,19,12,7,1,23,0,2,0,3,5,0,.321,5486
Joc Pederson,Dodgers,36,101,119,32,15,6,0,11,22,25,16,3,31,2,0,0,1,1,1,.317,11899
Tyler Naquin,Indians,48,159,182,48,30,8,2,8,23,25,20,3,43,3,0,0,1,4,2,.302,13359
Jonathan Schoop,Orioles,45,158,172,47,30,10,0,7,20,23,10,0,35,3,1,0,6,0,0,.297,11265
Sandy Leon,Red Sox,37,115,132,34,23,7,2,2,17,16,11,0,32,2,1,3,2,0,0,.296,5273
Javier Baez,Cubs,29,103,107,30,20,5,1,4,12,22,2,1,31,2,0,0,1,1,2,.291,12979
Kurt Suzuki,Twins,78,252,275,73,45,21,1,6,29,41,14,0,34,5,3,1,7,0,0,.290,8259
Didi Gregorius,Yankees,28,97,103,28,23,3,0,2,9,12,4,0,16,0,1,1,3,0,0,.289,6012
Alcides Escobar,Royals,35,126,138,36,27,6,2,1,12,18,10,2,16,1,0,1,3,2,0,.286,6310
Erick Aybar,- - -,41,132,150,37,27,9,1,0,13,13,13,2,27,4,1,0,5,0,2,.280,4082
Trevor Brown,Giants,32,98,105,27,17,5,0,5,13,13,6,0,24,1,0,0,2,0,1,.276,13895
Tony Wolters,Rockies,53,171,193,47,31,11,2,3,22,26,19,2,42,0,0,3,0,4,1,.275,11470
Alexei Ramirez,- - -,39,129,138,35,24,9,1,1,11,9,7,2,15,1,0,1,1,2,0,.271,5133
James McCann,Tigers,62,211,230,57,40,7,1,9,22,33,16,0,58,1,2,0,8,0,1,.270,12859
Nick Hundley,Rockies,28,97,109,26,18,6,0,2,11,17,11,3,23,0,1,0,7,0,0,.268,3376
Jordy Mercer,Pirates,73,255,287,67,49,10,3,5,31,35,25,7,42,2,2,3,4,1,0,.263,6547
Tucker Barnhart,Reds,88,301,336,79,54,18,1,6,29,38,29,6,59,2,3,1,11,1,0,.262,10200
J.J. Hardy,Orioles,32,107,114,28,21,6,0,1,5,10,5,0,21,0,2,0,4,0,0,.262,3797
Travis d'Arnaud,Mets,40,137,152,35,28,5,0,2,13,11,12,1,26,1,0,2,5,0,0,.255,7739
Juan Centeno,Twins,49,165,178,42,29,10,1,2,14,20,9,0,35,1,0,3,8,0,0,.255,7168
Adeiny Hechavarria,Marlins,104,374,403,94,71,17,4,2,39,31,24,6,53,1,2,2,8,1,0,.251,10459
Leonys Martin,Mariners,41,140,159,35,22,5,1,7,20,13,15,0,41,1,2,1,2,6,0,.250,11846
Chase Headley,Yankees,38,126,139,31,23,3,1,4,11,16,12,1,43,0,1,0,1,1,0,.246,4720
Kolten Wong,Cardinals,46,139,164,34,26,2,2,4,16,14,18,2,21,4,3,0,1,4,0,.245,12532
Mike Zunino,Mariners,28,88,101,21,11,3,0,7,10,18,10,0,35,3,0,0,0,0,0,.239,13265
Jose Lobaton,Nationals,32,93,107,22,15,3,1,3,10,8,12,1,18,0,1,1,3,0,0,.237,4243
Ramon Flores,Brewers,46,136,162,32,25,6,0,1,12,16,19,2,31,2,4,1,5,1,0,.235,11165
Jett Bandy,Angels,37,115,131,27,18,4,0,5,14,20,5,0,20,4,4,3,5,0,0,.235,12508
Miguel Rojas,Marlins,33,94,104,22,16,5,0,1,7,9,6,2,17,0,2,2,5,1,0,.234,7802
David Ross,Cubs,47,137,175,32,18,4,0,10,22,32,29,6,46,0,5,4,2,0,1,.234,1551
A.J. Ellis,- - -,30,95,112,22,14,6,0,2,6,16,13,2,14,2,1,1,4,1,1,.232,5677
Danny Espinosa,Nationals,100,330,392,76,48,10,0,18,44,49,43,12,113,14,3,2,3,7,2,.230,9219
Avisail Garcia,White Sox,32,105,116,24,18,3,0,3,14,12,11,0,32,0,0,0,3,0,1,.229,5760
Ramon Cabrera,Reds,35,129,140,29,21,7,0,1,6,15,7,1,22,0,2,2,3,1,1,.225,10327
Nick Ahmed,Diamondbacks,43,144,155,32,27,4,1,0,10,7,7,3,30,2,2,0,6,2,1,.222,12147
Kevin Kiermaier,Rays,42,136,154,30,16,9,1,4,20,13,15,1,26,2,1,0,3,6,2,.221,11038
Nolan Reimold,Orioles,29,87,100,19,12,4,0,3,10,8,11,0,26,1,1,0,3,1,1,.218,3441
Yonder Alonso,Athletics,36,120,134,26,19,5,0,2,12,16,12,1,20,0,2,0,4,1,1,.217,2530
Adam Rosales,Padres,35,97,114,21,7,8,2,4,16,14,14,1,38,1,2,0,1,2,0,.216,9682
Jason Castro,Astros,43,132,149,28,17,6,0,5,15,14,16,0,45,0,0,1,5,0,0,.212,8722
Dioner Navarro,- - -,44,144,164,30,17,7,1,5,18,19,15,0,28,2,2,1,2,0,0,.208,3179
Carlos Perez,Angels,68,228,247,47,29,13,0,5,23,30,9,0,44,1,2,7,5,0,0,.206,10642
Rene Rivera,Mets,51,161,182,33,25,2,0,6,11,23,15,3,52,3,2,1,4,0,0,.205,3648
Martin Maldonado,Brewers,44,135,170,26,14,6,0,6,14,16,27,9,36,5,1,2,5,1,0,.193,6887
Kevin Plawecki,Mets,30,89,105,16,10,5,0,1,4,10,14,2,23,2,0,0,2,0,0,.180,13807
Jarrod Saltalamacchia,Tigers,45,132,156,22,18,1,0,3,10,15,21,1,54,0,3,0,1,0,0,.167,5557
