Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerid
Dustin Pedroia,Red Sox,46,199,213,72,59,10,0,3,33,25,12,0,14,0,2,0,5,2,2,.362,8370
Ichiro Suzuki,Marlins,33,141,158,51,43,7,1,0,27,10,15,0,15,1,0,1,0,6,2,.362,1101
Trea Turner,Nationals,66,293,308,100,67,13,7,13,52,39,13,0,53,0,2,0,1,32,6,.341,16252
J.T. Realmuto,Marlins,23,97,104,32,24,7,0,1,19,7,6,0,21,0,1,0,1,6,1,.330,11739
Jose Altuve,Astros,44,176,205,58,31,18,0,9,39,27,24,3,21,3,2,0,4,15,1,.330,5417
Josh Harrison,Pirates,39,162,176,53,40,11,1,1,23,18,6,0,25,1,4,3,1,7,3,.327,8202
Charlie Blackmon,Rockies,135,573,634,186,117,35,5,29,110,82,42,4,99,12,4,3,2,17,9,.325,7859
Jean Segura,Diamondbacks,147,621,677,198,133,38,7,20,99,63,38,1,99,12,2,4,6,33,10,.319,5933
Mookie Betts,Red Sox,109,478,516,150,90,32,5,23,89,74,31,0,66,2,5,0,8,18,3,.314,13611
Jarrod Dyson,Royals,25,103,114,32,25,4,3,0,18,8,7,0,12,1,0,3,0,11,1,.311,4866
Devon Travis,Blue Jays,44,194,199,60,42,12,1,5,22,19,4,0,42,0,0,1,2,1,0,.309,13862
Ender Inciarte,Braves,76,318,354,98,74,15,7,2,55,19,30,3,39,3,1,2,4,8,6,.308,4922
Yunel Escobar,Angels,130,515,565,157,123,28,1,5,68,39,40,0,67,3,4,3,21,0,3,.305,4191
Jose Peraza,Reds,26,110,119,33,26,4,2,1,10,12,4,0,17,2,3,0,3,8,6,.300,13593
Whit Merrifield,Royals,25,107,114,32,23,6,1,2,14,12,7,0,25,0,0,0,1,1,1,.299,11281
Jon Jay,Padres,69,289,309,86,60,24,0,2,38,23,16,0,65,4,0,0,3,2,0,.298,5227
Cesar Hernandez,Phillies,68,260,312,77,61,7,5,4,39,16,46,2,59,2,1,3,0,8,9,.296,10556
Jonathan Villar,Brewers,125,493,565,142,91,31,3,17,82,49,65,4,147,1,4,2,6,58,15,.288,10071
Ian Kinsler,Tigers,149,613,672,176,116,28,4,28,116,82,43,0,115,13,3,0,5,14,6,.287,6195
Eduardo Nunez,- - -,77,339,360,97,74,11,1,11,48,41,15,0,50,2,3,2,5,26,5,.286,6848
Jace Peterson,Braves,32,126,144,36,25,6,0,5,14,10,17,0,19,0,0,1,3,1,3,.286,12325
Odubel Herrera,Phillies,76,302,340,86,65,11,1,9,47,27,34,6,57,2,2,0,0,9,7,.285,11476
Ezequiel Carrera,Blue Jays,39,148,177,42,31,6,1,4,29,12,19,0,28,3,1,6,5,5,3,.284,9048
Derek Dietrich,Marlins,25,85,107,24,17,4,1,2,11,8,14,1,15,6,2,0,1,0,0,.282,10542
Adam Jones,Orioles,108,450,488,127,90,13,0,24,68,64,26,1,80,3,8,1,4,2,0,.282,6368
Tim Anderson,White Sox,41,179,188,50,34,11,1,4,24,12,5,0,60,1,0,3,1,4,1,.279,15172
Dexter Fowler,Cubs,119,452,546,125,80,25,7,13,84,48,79,0,124,10,4,1,3,13,4,.277,4062
Matt Carpenter,Cardinals,114,427,511,118,57,35,6,20,73,65,73,5,97,5,3,3,4,0,4,.276,8090
Adam Eaton,White Sox,119,478,546,132,92,22,7,11,68,46,52,2,82,11,1,4,6,8,4,.276,11205
Nori Aoki,Mariners,93,363,409,100,71,21,4,4,54,27,33,0,42,8,1,3,6,7,7,.275,13075
Howie Kendrick,Dodgers,29,109,128,30,24,6,0,0,15,8,17,0,20,2,0,0,3,0,0,.275,4229
Billy Hamilton,Reds,46,173,198,47,37,9,1,0,29,6,23,0,39,0,0,2,1,31,4,.272,10199
Dee Gordon,Marlins,73,321,341,86,72,7,6,1,46,14,18,1,54,0,1,1,4,30,7,.268,8203
Jose Reyes,Mets,60,255,279,68,43,13,4,8,45,24,23,1,49,0,1,0,3,9,2,.267,1736
Jordy Mercer,Pirates,25,98,113,26,16,7,0,3,17,7,12,0,16,1,0,2,3,0,0,.265,6547
Logan Forsythe,Rays,125,509,565,135,87,24,4,20,76,52,46,0,125,8,2,0,8,6,6,.265,7185
Chase Utley,Dodgers,114,473,521,125,84,24,3,14,75,49,35,1,102,11,1,1,0,2,2,.264,1679
Jacoby Ellsbury,Yankees,81,318,362,84,61,13,5,5,41,28,30,0,46,2,1,1,5,16,6,.264,4727
Denard Span,Giants,130,553,614,146,109,22,4,11,68,50,49,1,74,4,2,6,8,12,7,.264,8347
Domingo Santana,Brewers,25,95,108,25,15,7,0,3,11,10,13,0,33,0,0,0,1,0,1,.263,10348
Leonys Martin,Mariners,26,107,115,28,22,3,1,2,14,9,7,0,37,1,0,0,0,2,2,.262,11846
Brian Dozier,Twins,73,306,337,80,35,16,2,27,54,49,27,4,82,2,0,2,6,11,2,.261,9810
Zack Cozart,Reds,80,329,358,86,48,22,1,15,51,37,24,2,52,1,4,0,6,2,1,.261,2616
George Springer,Astros,116,467,542,122,76,22,4,20,89,56,65,2,130,9,1,0,10,6,4,.261,12856
John Jaso,Pirates,80,291,329,76,52,16,2,6,35,27,32,0,55,4,1,1,7,0,2,.261,5887
Carlos Santana,Indians,86,327,395,85,46,18,2,19,57,41,67,0,60,0,1,0,10,4,2,.260,2396
Travis Jankowski,Padres,74,275,316,71,55,13,2,1,45,9,35,0,72,2,0,3,5,25,8,.258,13768
Brett Gardner,Yankees,80,314,366,81,57,14,6,4,43,27,41,0,59,4,4,3,6,5,2,.258,9927
Jurickson Profar,Rangers,32,125,137,32,23,4,2,3,20,6,11,0,23,0,0,1,2,0,1,.256,10815
Billy Burns,- - -,44,173,184,44,36,6,2,0,22,7,5,0,16,4,1,1,1,10,2,.254,12701
Rajai Davis,Indians,70,288,315,73,45,15,2,11,48,35,21,0,68,4,1,1,7,26,2,.253,3708
Shin-Soo Choo,Rangers,40,156,181,39,25,7,0,7,26,16,20,1,42,5,0,0,1,5,3,.250,3174
Kole Calhoun,Angels,26,104,117,26,17,6,0,3,13,9,11,0,16,1,1,0,1,0,1,.250,11200
Brandon Guyer,Rays,23,97,111,24,10,9,0,5,14,11,6,0,23,6,1,1,0,1,0,.247,2636
Nick Markakis,Braves,26,102,123,25,20,5,0,0,9,13,17,1,21,2,2,0,0,0,0,.245,5930
Rougned Odor,Rangers,31,139,143,34,20,8,1,5,20,15,1,0,24,2,1,0,0,3,2,.245,12282
Alcides Escobar,Royals,82,343,367,83,71,9,2,1,31,23,13,0,54,1,4,6,7,12,2,.242,6310
Joey Rickard,Orioles,41,167,183,40,30,6,0,4,19,10,13,0,36,1,1,1,2,2,1,.240,13277
Jose Bautista,Blue Jays,40,159,185,38,21,8,0,9,29,22,25,0,38,0,1,0,8,0,0,.239,1887
Coco Crisp,- - -,81,339,372,81,48,22,3,8,38,40,30,0,56,0,1,2,6,5,3,.239,1572
Delino DeShields,Rangers,32,114,127,26,19,5,0,2,20,8,9,0,32,2,0,2,0,4,2,.228,11379
Ben Revere,Nationals,56,242,262,55,43,5,5,2,31,21,15,0,25,2,2,1,6,13,4,.227,4712
Curtis Granderson,Mets,81,321,369,70,37,13,4,16,44,25,40,4,78,7,1,0,7,2,2,.218,4747
Michael Taylor,Nationals,34,140,149,28,16,6,0,6,18,8,7,0,47,1,1,0,2,8,2,.200,11489
