Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerid
DJ LeMahieu,Rockies,102,398,461,144,106,23,6,9,79,52,51,1,56,3,4,5,10,4,4,.362,9874
Mike Trout,Angels,33,114,146,41,25,9,1,6,27,19,26,3,32,6,0,0,3,9,4,.360,10155
Manny Machado,Orioles,36,144,164,47,21,15,0,11,29,26,19,4,28,1,0,0,1,0,3,.326,11493
Corey Seager,Dodgers,118,500,546,160,102,31,3,24,87,65,43,4,105,1,2,0,8,3,2,.320,13624
Martin Prado,Marlins,111,459,502,146,110,27,2,7,56,56,39,4,50,2,2,0,15,1,1,.318,3312
Joey Votto,Reds,29,111,133,35,20,10,0,5,21,11,21,1,28,1,0,0,1,3,0,.315,4314
Jonathan Schoop,Orioles,29,124,125,39,19,13,0,7,19,17,1,0,25,0,0,0,4,0,0,.315,11265
Adam Eaton,White Sox,30,118,135,37,26,7,2,2,20,11,10,0,26,3,1,3,0,6,0,.314,11205
Stephen Piscotty,Cardinals,49,203,223,63,38,14,2,9,33,30,15,0,40,5,0,0,5,3,1,.310,13367
Nomar Mazara,Rangers,37,143,159,44,32,6,0,6,20,19,12,0,31,1,3,0,9,0,0,.308,14553
Ian Desmond,Rangers,109,450,484,138,104,18,2,14,72,61,30,1,118,2,2,0,7,14,5,.307,6885
Kris Bryant,Cubs,83,325,379,99,60,17,3,19,64,45,42,2,83,11,1,0,2,5,3,.305,15429
Dustin Pedroia,Red Sox,102,420,470,127,88,26,1,12,72,49,48,0,57,0,1,1,18,5,2,.302,8370
Asdrubal Cabrera,Mets,77,304,333,88,53,19,1,15,43,38,23,0,63,4,2,0,11,4,1,.289,4962
Jose Iglesias,Tigers,22,97,105,28,22,5,0,1,13,5,6,0,10,0,1,1,2,1,0,.289,10231
Cameron Maybin,Tigers,65,257,288,74,55,12,4,3,48,31,27,0,53,2,1,1,8,9,3,.288,5223
Eugenio Suarez,Reds,34,139,149,40,31,1,0,8,24,22,9,0,25,1,0,0,1,4,1,.288,12552
Marwin Gonzalez,Astros,39,161,171,46,31,8,1,6,26,16,6,0,32,2,0,2,4,3,1,.286,5497
Adonis Garcia,Braves,47,207,217,59,42,11,0,6,33,29,8,0,36,2,0,0,8,1,1,.285,13777
Alex Bregman,Astros,43,183,197,52,28,13,3,8,31,33,13,0,48,0,1,0,1,2,0,.284,17678
Franklin Gutierrez,Mariners,58,148,168,42,24,8,0,10,21,30,17,0,46,1,2,0,5,1,0,.284,3255
Hyun Soo Kim,Orioles,61,233,259,66,53,9,1,3,26,14,21,0,39,4,1,0,4,1,2,.283,18718
Kevin Kiermaier,Rays,51,198,222,55,39,8,1,7,32,19,19,0,41,5,0,0,2,12,1,.278,11038
Tim Anderson,White Sox,47,198,206,55,40,7,5,3,25,14,5,0,48,0,0,3,10,5,1,.278,15172
Kole Calhoun,Angels,100,383,436,106,66,23,4,13,66,56,46,0,80,3,4,0,9,2,1,.277,11200
Josh Donaldson,Blue Jays,138,517,627,143,76,32,4,31,109,86,97,6,108,8,3,2,14,5,1,.277,5038
Jason Kipnis,Indians,153,603,678,166,99,40,4,23,90,79,58,0,144,6,6,5,21,15,3,.275,9776
Brad Miller,Rays,65,260,281,71,39,11,5,16,38,34,19,0,57,0,2,0,2,4,1,.273,12775
Whit Merrifield,Royals,40,166,175,45,29,14,2,0,25,13,8,1,38,0,0,1,0,7,1,.271,11281
Joe Mauer,Twins,53,207,240,56,39,13,1,3,29,23,31,2,31,0,2,0,3,0,0,.271,1857
Michael Bourn,- - -,65,271,300,73,53,10,6,4,39,29,22,0,63,0,1,6,3,13,5,.269,6387
Trevor Story,Rockies,44,186,202,50,22,12,4,12,28,32,14,1,69,1,1,0,2,3,2,.269,12564
Gregory Polanco,Pirates,28,112,122,30,21,3,0,6,14,14,10,0,28,0,0,0,3,5,1,.268,12907
Cheslor Cuthbert,Royals,44,183,197,49,33,14,0,2,18,12,13,0,34,0,1,0,4,0,0,.268,10473
Brett Gardner,Yankees,61,228,261,61,50,8,0,3,36,14,27,0,44,4,1,1,0,10,2,.268,9927
Wil Myers,Padres,108,427,482,113,66,22,4,21,75,71,50,0,112,2,3,0,10,20,4,.265,10047
Aledmys Diaz,Cardinals,65,257,297,68,44,13,2,9,40,39,27,3,46,7,4,2,9,3,3,.265,15937
Billy Hamilton,Reds,30,121,134,32,24,7,1,0,22,4,7,0,24,1,1,4,2,16,2,.264,10199
Robbie Grossman,Twins,35,133,162,35,22,8,1,4,26,12,29,0,45,0,0,0,1,1,3,.263,5254
Scooter Gennett,Brewers,91,363,393,95,60,23,1,11,43,33,26,0,82,1,1,1,6,6,1,.262,10339
David Wright,Mets,28,107,130,28,15,8,0,5,16,9,22,0,39,0,0,0,0,3,0,.262,3787
Angel Pagan,Giants,69,280,309,73,52,13,2,6,35,24,27,0,38,0,0,0,7,6,3,.261,2918
George Springer,Astros,44,173,198,45,29,6,1,9,27,25,23,0,48,2,0,0,2,3,6,.260,12856
Jayson Werth,Nationals,94,352,416,91,61,17,0,13,62,44,57,0,92,3,4,0,10,5,1,.259,1327
Jorge Polanco,Twins,27,110,120,28,17,6,2,3,8,17,6,0,23,2,2,0,1,2,1,.255,13152
Joe Panik,Giants,72,293,325,74,52,10,5,7,47,37,26,1,32,1,3,2,7,5,0,.253,11936
Seth Smith,Mariners,104,331,373,83,57,12,0,14,50,55,32,0,74,7,3,0,9,0,0,.251,7331
Jacoby Ellsbury,Yankees,59,228,258,57,44,10,0,3,27,25,23,1,37,0,2,3,6,3,1,.250,4727
Odubel Herrera,Phillies,38,144,166,36,27,3,3,3,19,10,17,0,42,3,0,2,4,9,0,.250,11476
Josh Bell,Pirates,26,93,107,23,16,5,0,2,12,9,13,0,13,0,1,0,4,0,1,.247,13145
Xander Bogaerts,Red Sox,50,203,229,50,35,9,0,6,35,21,24,0,42,2,0,0,3,0,1,.246,12161
Jed Lowrie,Athletics,48,195,216,47,40,5,0,2,15,16,18,0,45,0,3,0,8,0,0,.241,4418
Brian Dozier,Twins,24,100,112,24,14,6,0,4,17,16,8,0,18,3,1,0,2,2,0,.240,9810
Jason Heyward,Cubs,66,271,306,65,48,13,0,4,38,26,31,0,59,3,0,1,7,7,3,.240,4940
Cesar Hernandez,Phillies,25,101,110,24,22,0,2,0,10,7,6,1,18,0,1,2,3,1,3,.238,10556
Andrew McCutchen,Pirates,61,249,278,59,37,12,1,9,37,25,27,3,68,2,0,0,3,1,3,.237,9847
Anthony Rendon,Nationals,36,140,158,33,24,7,0,2,24,6,18,0,27,0,0,0,2,3,1,.236,12861
Chris Owings,Diamondbacks,30,124,128,29,18,7,2,2,18,13,1,0,27,1,2,0,3,7,1,.234,10030
Mike Moustakas,Royals,26,103,112,24,11,6,0,7,11,11,9,0,13,0,0,0,5,0,1,.233,4892
Jimmy Rollins,White Sox,31,126,138,29,19,7,1,2,20,8,11,0,25,0,1,0,2,3,2,.230,971
J.D. Martinez,Tigers,33,133,149,30,11,8,2,9,21,23,14,0,45,1,1,0,8,0,0,.226,6184
Chase d'Arnaud,Braves,25,103,111,23,18,3,1,1,9,9,6,0,23,2,0,0,3,4,0,.223,6652
Erick Aybar,- - -,23,99,103,22,14,4,1,3,9,11,1,0,8,0,1,2,3,1,0,.222,4082
Zack Cozart,Reds,33,131,143,29,22,5,1,1,16,10,11,0,31,0,0,1,3,2,0,.221,2616
Marcus Semien,Athletics,24,98,104,21,14,3,0,4,11,9,4,0,30,0,1,1,5,1,0,.214,12533
Ender Inciarte,Braves,25,103,113,22,17,4,0,1,13,7,7,0,13,1,0,2,2,4,1,.214,4922
Freddy Galvis,Phillies,41,163,173,34,22,7,1,4,15,16,5,0,44,2,0,3,5,3,2,.209,6609
Gordon Beckham,Braves,24,91,103,17,11,3,1,2,12,10,9,0,20,3,0,0,6,1,0,.187,9015
