Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerid
Hunter Pence,Giants,28,106,119,36,26,8,1,1,14,14,12,0,23,0,1,0,4,0,0,.340,8252
Nick Castellanos,Tigers,35,125,138,40,27,5,2,6,17,20,9,0,37,1,3,0,2,1,0,.320,11737
Brandon Crawford,Giants,29,101,115,32,23,5,3,1,13,14,13,1,22,1,1,0,5,1,0,.317,5343
Anthony Rendon,Nationals,35,123,143,38,21,9,1,7,20,19,18,0,29,1,1,0,0,4,2,.309,12861
Kyle Seager,Mariners,40,146,162,45,25,9,1,10,22,25,11,2,26,4,1,0,3,0,1,.308,9785
Billy Butler,- - -,33,104,112,32,21,10,0,1,11,13,8,0,15,0,0,0,6,0,0,.308,7399
J.T. Realmuto,Marlins,25,98,105,30,22,8,0,0,8,12,5,0,23,1,1,0,2,2,1,.306,11739
Dae-Ho Lee,Mariners,39,121,131,37,25,6,0,6,17,27,7,0,28,3,0,0,3,0,0,.306,18722
Jose Ramirez,Indians,38,145,153,44,28,11,1,4,15,19,6,0,24,1,0,1,5,3,3,.303,13510
Jonathan Lucroy,- - -,39,135,149,40,24,6,0,10,17,28,12,2,26,2,0,0,5,0,0,.296,7870
Alexei Ramirez,- - -,26,98,102,29,23,5,1,0,9,8,3,1,14,1,0,0,2,3,3,.296,5133
Lonnie Chisenhall,Indians,61,222,238,65,42,16,2,5,23,38,10,0,36,1,3,2,3,2,0,.293,7571
Aaron Hill,- - -,52,168,194,49,35,7,0,7,26,21,19,1,26,2,2,0,2,3,2,.292,6104
Yadier Molina,Cardinals,46,165,182,48,34,11,1,2,20,18,15,1,20,1,1,0,4,1,0,.291,7007
Justin Bour,Marlins,38,128,146,37,24,6,1,6,17,21,18,6,19,0,0,0,3,0,0,.289,9744
Yasmani Grandal,Dodgers,35,118,140,34,21,2,1,10,16,24,21,0,31,1,0,0,2,1,1,.288,11368
Derek Dietrich,Marlins,34,98,114,28,20,6,0,2,9,15,6,0,22,7,3,0,2,0,0,.286,10542
Francisco Cervelli,Pirates,27,88,103,25,20,5,0,0,15,5,12,0,22,1,2,0,1,3,0,.284,5275
Salvador Perez,Royals,37,145,150,41,23,8,1,9,20,23,4,0,30,1,0,0,3,0,0,.283,7304
Wilson Ramos,Nationals,38,144,152,40,29,4,0,7,11,22,8,1,25,0,0,0,4,0,0,.278,1433
Troy Tulowitzki,Blue Jays,58,224,241,62,38,14,0,10,25,38,14,0,33,1,2,0,6,0,0,.277,3531
Travis Shaw,Red Sox,57,211,232,58,32,19,2,5,30,28,17,0,52,2,2,0,3,2,0,.275,11982
Brett Lawrie,White Sox,68,255,284,70,43,17,0,10,29,31,27,2,83,1,1,0,1,6,2,.275,5247
Mark Reynolds,Rockies,42,146,162,40,23,11,0,6,19,24,13,0,45,2,1,0,3,0,0,.274,7619
Cameron Rupp,Phillies,38,152,156,41,25,9,0,7,12,20,3,0,42,0,1,0,7,0,0,.270,11146
Freddy Galvis,Phillies,30,110,118,29,21,2,1,5,12,12,6,2,23,0,1,1,4,2,1,.264,6609
Jackie Bradley Jr.,Red Sox,56,205,236,54,28,12,3,11,42,34,25,1,46,5,1,0,5,3,1,.263,12984
Logan Morrison,Rays,28,95,111,25,15,6,0,4,12,12,13,1,21,3,0,0,0,2,0,.263,9205
Evan Gattis,Astros,27,103,110,27,17,3,0,7,13,12,7,1,30,0,0,0,2,0,0,.262,11003
Tyler Flowers,Braves,46,162,191,42,29,10,0,3,17,20,21,1,48,6,2,0,2,0,0,.259,9134
Adam Lind,Mariners,71,255,278,66,40,11,0,15,33,43,21,3,45,0,2,0,9,0,1,.259,8027
Brian McCann,Yankees,27,89,103,23,18,1,0,4,11,9,13,0,21,1,0,0,5,1,0,.258,4810
Didi Gregorius,Yankees,40,151,161,39,24,9,1,5,17,14,6,0,24,1,2,1,2,1,0,.258,6012
Andrelton Simmons,Angels,39,144,153,37,29,5,0,3,17,11,8,0,9,1,0,0,4,3,0,.257,10847
Jonathan Schoop,Orioles,33,129,136,33,22,7,0,4,20,19,3,0,30,2,2,0,3,0,0,.256,11265
Wilmer Flores,Mets,28,98,107,25,18,6,0,1,8,10,5,0,14,2,2,0,2,0,0,.255,5827
Eugenio Suarez,Reds,53,189,216,48,31,7,2,8,25,25,20,0,57,5,2,0,2,5,3,.254,12552
Starlin Castro,Yankees,38,154,164,39,31,3,0,5,16,15,7,0,33,1,1,1,0,4,0,.253,4579
Scott Schebler,Reds,47,170,186,43,29,6,2,6,25,28,11,1,36,5,0,0,5,1,2,.253,12225
Yonder Alonso,Athletics,37,107,122,27,17,9,0,1,12,9,15,0,18,0,0,0,3,0,0,.252,2530
Luis Valbuena,Astros,27,101,115,25,15,6,0,4,15,10,13,0,29,0,0,1,2,0,0,.248,4969
Jason Heyward,Cubs,45,174,189,43,29,10,1,3,16,16,13,0,25,1,1,0,2,3,0,.247,4940
Jake Lamb,Diamondbacks,25,85,100,21,11,8,1,1,11,15,13,1,29,1,1,0,1,1,0,.247,13329
Pedro Alvarez,Orioles,37,133,146,32,14,3,0,15,20,26,13,1,32,0,0,0,4,0,0,.241,2495
Justin Upton,Tigers,97,356,394,85,44,16,2,23,50,59,35,3,104,2,1,0,8,4,3,.239,5222
