pitch_type,pitch_id,game_date,start_speed,x0,z0,player_name,batter,pitcher,events,description,spin_dir,spin_rate,break_angle,break_length,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,px,pz,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs,tfs_zulu,catcher,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,hit_speed,hit_angle,effective_speed,release_spin_rate,release_extension,game_pk
FF,187,2016-10-02,93.93,-0.52,5.86,Kris Bryant,592178,596112,Single,In play no out,218.119,2223.14,35.2,4.5,8,Kris Bryant singles on a line drive to left fielder Adam Duvall.   Dexter Fowler to 3rd.,R ,R,R,CIN,CHC,X,7,3,1,0,2016,-6.84,8.68,-0.13,2.06,null,null,451594,0,3,top,66,123.24,200230,2016-10-02T20:02:30Z,571466,489985,161002_160329,3.45,-136.9,-7.36,-12.95,31.06,-15.67,3.41,1.62,227,83.7,20.73,93.69,2296,6.41,449284
CH,325,2016-10-01,85.36,-2.41,5.73,Kris Bryant,592178,534947,Flyout,In play out(s),234.748,1227.771,15.5,7,9,Kris Bryant flies out to center fielder Steve Selsky.  ,R ,R,R,CIN,CHC,X,8,1,1,2,2016,-5.37,3.75,0.27,1.7,null,452657,451594,1,5,top,154.89,64.52,214420,2016-10-01T21:44:20Z,541608,427206,161001_174541,8.37,-124.15,-4.69,-8.58,19.22,-26.11,3.41,1.63,333,89.3,30.72,86.27,1586,6.61,449269
CH,233,2016-10-01,84.32,-2.5,5.92,Kris Bryant,592178,534947,Lineout,In play out(s),246.685,829.836,10.9,7.8,11,Kris Bryant lines out softly to shortstop Jose Peraza.  ,R ,R,R,CIN,CHC,X,6,3,3,1,2016,-4.15,1.75,-1.12,2.8,null,null,null,0,4,top,113.68,149.97,212024,2016-10-01T21:20:24Z,541608,427206,161001_172147,4.69,-122.98,-1.62,-6.46,20.74,-29.39,3.41,1.63,161,58.2,23.54,84.67,1505,6.29,449269
CH,9,2016-10-01,85.94,-2.34,5.81,Kris Bryant,592178,534947,Flyout,In play out(s),233.687,985.364,11.8,7,8,Kris Bryant flies out to right fielder Patrick Kivlehan.  ,R ,R,R,CIN,CHC,X,9,1,0,2,2016,-4.22,3.06,0.07,2.02,null,null,451594,0,1,top,156.78,132.4,201241,2016-10-01T20:12:41Z,541608,427206,161001_161346,7.39,-125.16,-4.02,-6.85,19.8,-27.14,3.41,1.63,212,91.6,60.21,86.91,1531,6.64,449269
FF,14,2016-09-30,93.08,-2.647,5.365,Kris Bryant,592178,595001,Flyout,In play out(s),211.712,1640.503,18.9,4.5,1,Kris Bryant flies out to center fielder Hernan Iribarren.  ,R ,R,R,CIN,CHC,X,8,1,2,2,2016,-4.29,6.9,-0.62,2.864,null,null,null,1,1,top,124.79,85.67,231311,2016-09-30T23:13:11Z,571466,573597,160930_191355,6.94,-135.124,-3.14,-8.03,25.73,-19.18,3.41,1.63,291,80.7,37.73,93.08,2203,6.36,449254
CU,161,2016-09-30,79.85,-2.951,5.413,Kris Bryant,592178,595001,Lineout,In play out(s),52.965,1825.385,-16.8,12.5,8,Kris Bryant lines out to center fielder Hernan Iribarren.  ,R ,R,R,CIN,CHC,X,8,3,2,2,2016,8.49,-6.46,0.057,2.189,null,null,null,1,4,top,149.63,74.15,235525,2016-09-30T23:55:25Z,571466,573597,160930_195612,4.38,-116.099,1.5,11.66,20.36,-40.97,3.41,1.63,341,94.1,24.02,78.9,2731,5.75,449254
FF,275,2016-09-30,95.57,2.201,5.095,Kris Bryant,592178,571561,Forceout,In play run(s),139.584,2607.236,-45.6,4.2,9,Kris Bryant grounds into a force out shortstop Jose Peraza to second baseman Ivan De Jesus.   Miguel Montero scores.    Tommy La Stella to 3rd.    Dexter Fowler out at 2nd.    Kris Bryant to 1st.,R ,R,L,CIN,CHC,X,6,4,1,1,2016,8.17,9.55,0.528,1.77,471083,600303,451594,0,6,top,106,155.96,2951,2016-10-01T00:29:51Z,571466,573597,160930_203037,-7.56,-139.406,-6.82,16.24,28.26,-13.1,3.41,1.63,121,94.6,-19.15,96.31,2384,6.7,449254
FF,426,2016-09-30,91.67,-1.315,5.794,Kris Bryant,592178,593582,Single,In play no out,209.43,1546.468,15.6,4.9,8,Kris Bryant singles on a sharp ground ball to left fielder Adam Duvall.   Dexter Fowler to 2nd.,R ,R,R,CIN,CHC,X,7,4,1,0,2016,-3.87,6.82,0.196,1.884,null,null,451594,1,8,top,73.88,111.12,10754,2016-10-01T01:07:54Z,571466,573597,160930_210845,5.31,-133.338,-6.55,-6.98,28.16,-19.8,3.41,1.63,254,87.4,9.62,90.49,2249,5.81,449254
CH,391,2016-09-28,86.03,-1.797,6.145,Kris Bryant,592178,592791,Field Error,In play no out,207.89,1160.357,10.1,6.1,11,Kris Bryant reaches on a fielding error by second baseman Adam Frazier.  ,R ,R,R,PIT,CHC,X,4,4,1,1,2016,-2.93,5.49,-1.179,3.05,null,null,null,1,6,top,154.48,143.24,5713,2016-09-29T00:57:13Z,518700,427197,160928_205904,2.48,-125.618,-3,-4.7,24.4,-23.29,3.4,1.62,162,76.5,60.51,86.45,1655,6.32,449229
FF,522,2016-09-28,92.75,-1.977,6.093,Kris Bryant,592178,504379,Groundout,In play out(s),228.752,2144.426,35,5.4,11,Kris Bryant grounds out third baseman David Freese to first baseman John Jaso.  ,R ,R,R,PIT,CHC,X,5,4,0,0,2016,-8.14,7.1,-1.225,3.166,null,600303,null,2,7,top,109.45,168.8,24823,2016-09-29T02:48:23Z,518700,427197,160928_213419,4.82,-135.007,-4.23,-15,29.79,-19.02,3.4,1.62,103,62.2,-5.22,91.75,2016,5.79,449229
