Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
<a href=wins.aspx?date=2050-01-01&team=total&dh=0>2050-01-01</a>,- - -,- - -,- - -,- - -,159,549,681,173,107,32,5,29,123,100,116,12,137,11,5,0,5,30,7,.315
<a href=wins.aspx?date=2016-10-02&team=Angels&dh=0>2016-10-02</a>,LAA,HOU,3,DH,1,2,4,1,1,0,0,0,0,1,2,0,0,0,0,0,0,1,0,.500
<a href=wins.aspx?date=2016-10-01&team=Angels&dh=0>2016-10-01</a>,LAA,HOU,3,DH,1,3,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,.000
<a href=wins.aspx?date=2016-09-30&team=Angels&dh=0>2016-09-30</a>,LAA,HOU,2,DH,1,3,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,.000
<a href=wins.aspx?date=2016-09-28&team=Angels&dh=0>2016-09-28</a>,LAA,OAK,2,DH,1,4,5,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,.250
<a href=wins.aspx?date=2016-09-27&team=Angels&dh=0>2016-09-27</a>,LAA,OAK,3,DH,1,3,4,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,.333
<a href=wins.aspx?date=2016-09-26&team=Angels&dh=0>2016-09-26</a>,LAA,OAK,3,CF,1,2,4,2,1,0,0,1,1,1,2,1,0,0,0,0,0,0,0,1.000
<a href=wins.aspx?date=2016-09-25&team=Angels&dh=0>2016-09-25</a>,LAA,@HOU,2,CF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.000
<a href=wins.aspx?date=2016-09-24&team=Angels&dh=0>2016-09-24</a>,LAA,@HOU,3,CF,1,3,5,2,1,1,0,0,3,2,2,0,0,0,0,0,0,0,0,.667
<a href=wins.aspx?date=2016-09-23&team=Angels&dh=0>2016-09-23</a>,LAA,@HOU,3,CF,1,3,5,1,1,0,0,0,2,0,2,0,0,0,0,0,0,1,0,.333
<a href=wins.aspx?date=2016-09-22&team=Angels&dh=0>2016-09-22</a>,LAA,@HOU,2,CF,1,3,4,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2016-09-21&team=Angels&dh=0>2016-09-21</a>,LAA,@TEX,2,CF,1,4,5,1,0,0,0,1,1,3,1,0,1,0,0,0,0,0,1,.250
<a href=wins.aspx?date=2016-09-20&team=Angels&dh=0>2016-09-20</a>,LAA,@TEX,2,CF,1,2,5,1,1,0,0,0,0,1,2,1,0,1,0,0,0,0,0,.500
<a href=wins.aspx?date=2016-09-19&team=Angels&dh=0>2016-09-19</a>,LAA,@TEX,2,CF,1,4,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,.250
<a href=wins.aspx?date=2016-09-18&team=Angels&dh=0>2016-09-18</a>,LAA,TOR,3,CF,1,3,5,1,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,.333
<a href=wins.aspx?date=2016-09-17&team=Angels&dh=0>2016-09-17</a>,LAA,TOR,3,CF,1,4,4,2,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,.500
<a href=wins.aspx?date=2016-09-16&team=Angels&dh=0>2016-09-16</a>,LAA,TOR,2,CF,1,5,5,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.400
<a href=wins.aspx?date=2016-09-15&team=Angels&dh=0>2016-09-15</a>,LAA,TOR,3,CF,1,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2016-09-14&team=Angels&dh=0>2016-09-14</a>,LAA,SEA,3,CF,1,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2016-09-13&team=Angels&dh=0>2016-09-13</a>,LAA,SEA,3,CF,1,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2016-09-12&team=Angels&dh=0>2016-09-12</a>,LAA,SEA,3,CF,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250
<a href=wins.aspx?date=2016-09-11&team=Angels&dh=0>2016-09-11</a>,LAA,TEX,3,CF,1,3,4,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2016-09-10&team=Angels&dh=0>2016-09-10</a>,LAA,TEX,3,CF,1,4,5,2,2,0,0,0,1,1,0,0,2,0,1,0,0,1,0,.500
<a href=wins.aspx?date=2016-09-09&team=Angels&dh=0>2016-09-09</a>,LAA,TEX,3,CF,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
<a href=wins.aspx?date=2016-09-06&team=Angels&dh=0>2016-09-06</a>,LAA,@OAK,2,CF,1,3,4,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,.000
<a href=wins.aspx?date=2016-09-05&team=Angels&dh=0>2016-09-05</a>,LAA,@OAK,2,CF,1,4,5,3,3,0,0,0,2,0,0,0,1,1,0,0,0,1,0,.750
<a href=wins.aspx?date=2016-09-04&team=Angels&dh=0>2016-09-04</a>,LAA,@SEA,2,CF,1,2,4,0,0,0,0,0,1,0,2,0,1,0,0,0,0,1,1,.000
<a href=wins.aspx?date=2016-09-03&team=Angels&dh=0>2016-09-03</a>,LAA,@SEA,3,CF,1,5,5,3,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,.600
<a href=wins.aspx?date=2016-09-02&team=Angels&dh=0>2016-09-02</a>,LAA,@SEA,3,CF,1,3,5,1,0,0,0,1,1,3,2,0,0,0,0,0,0,0,0,.333
<a href=wins.aspx?date=2016-08-30&team=Angels&dh=0>2016-08-30</a>,LAA,CIN,2,CF,1,4,4,3,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,.750
<a href=wins.aspx?date=2016-08-29&team=Angels&dh=0>2016-08-29</a>,LAA,CIN,2,CF,1,4,5,3,1,1,0,1,2,2,1,0,0,0,0,0,0,0,0,.750
<a href=wins.aspx?date=2016-08-28&team=Angels&dh=0>2016-08-28</a>,LAA,@DET,2,CF,1,4,4,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,.250
<a href=wins.aspx?date=2016-08-27&team=Angels&dh=0>2016-08-27</a>,LAA,@DET,2,CF,1,2,5,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,.000
<a href=wins.aspx?date=2016-08-26&team=Angels&dh=0>2016-08-26</a>,LAA,@DET,2,CF,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2016-08-25&team=Angels&dh=0>2016-08-25</a>,LAA,@TOR,2,CF,1,4,4,3,3,0,0,0,1,4,0,0,0,0,0,0,0,0,0,.750
<a href=wins.aspx?date=2016-08-24&team=Angels&dh=0>2016-08-24</a>,LAA,@TOR,2,CF,1,5,6,3,1,1,0,1,2,1,1,1,1,0,0,0,0,0,0,.600
<a href=wins.aspx?date=2016-08-23&team=Angels&dh=0>2016-08-23</a>,LAA,@TOR,2,CF,1,3,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,.333
<a href=wins.aspx?date=2016-08-21&team=Angels&dh=0>2016-08-21</a>,LAA,NYY,2,CF,1,3,4,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,.333
<a href=wins.aspx?date=2016-08-20&team=Angels&dh=0>2016-08-20</a>,LAA,NYY,2,CF,1,3,4,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,.000
<a href=wins.aspx?date=2016-08-19&team=Angels&dh=0>2016-08-19</a>,LAA,NYY,3,CF,1,4,4,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.500
<a href=wins.aspx?date=2016-08-18&team=Angels&dh=0>2016-08-18</a>,LAA,SEA,3,CF,1,2,4,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,.000
