Rougned Odor | 12282
Justin Upton | 5222
Rhys Hoskins | 16472
Aaron Altherr | 11270
Kevan Smith | 12284
Ryan Braun | 3410
Rafael Devers | 17350
Jose Bautista | 1887
Carlos Asuaje | 15197
Michael Saunders | 9981
Bruce Maxwell | 13866
Matt Olson | 14344
Manuel Margot | 14712
Josh Donaldson | 5038
Wilson Ramos | 1433
Max Kepler | 12144
Hernan Perez | 5751
Adam Duvall | 10950
Adrian Gonzalez | 1908
Matt Joyce | 3353
Brad Miller | 12775
Melky Cabrera | 4022
Daniel Robertson | 14145
Dustin Pedroia | 8370
Michael Brantley | 4106
J.T. Realmuto | 11739
Matt Holliday | 1873
Michael Conforto | 16376
Jorge Bonifacio | 12174
Evan Gattis | 11003
Gregor Blanco | 3123
Charlie Blackmon | 7859
Jacoby Ellsbury | 4727
Christian Vazquez | 9774
Kevin Pillar | 12434
Yan Gomes | 9627
Greg Garcia | 10951
Caleb Joseph | 7087
Adam Engel | 15082
Jose Ramirez | 13510
John Jaso | 5887
Xander Bogaerts | 12161
Corey Dickerson | 10762
Yangervis Solarte | 5352
Kolten Wong | 12532
Mitch Haniger | 14274
Albert Pujols | 1177
Mookie Betts | 13611
Billy Hamilton | 10199
Orlando Arcia | 13185
Russell Martin | 4616
Nick Castellanos | 11737
Neil Walker | 7539
Joe Panik | 11936
Lorenzo Cain | 9077
Daniel Murphy | 4316
Jason Castro | 8722
Alex Presley | 5305
Marcell Ozuna | 10324
Francisco Lindor | 12916
Aaron Judge | 15640
Jackie Bradley Jr. | 12984
Starling Marte | 9241
Jake Lamb | 13329
Francisco Cervelli | 5275
Tyler Saladino | 10807
Matt Wieters | 4298
Eduardo Escobar | 6153
Mallex Smith | 13608
Kelby Tomlinson | 13005
Tyler Flowers | 9134
Shin-Soo Choo | 3174
Austin Romine | 5491
Welington Castillo | 3256
Paul DeJong | 18015
Kole Calhoun | 11200
Hunter Pence | 8252
Victor Martinez | 393
Yasiel Puig | 14225
Josh Reddick | 3892
Omar Narvaez | 13338
Robinson Chirinos | 3142
Avisail Garcia | 5760
Matt Chapman | 16505
Carlos Gomez | 4881
Patrick Kivlehan | 13910
Guillermo Heredia | 18721
James McCann | 12859
Evan Longoria | 9368
Dee Gordon | 8203
Jeff Mathis | 3448
Eduardo Nunez | 6848
Marcus Semien | 12533
Ronald Torreyes | 11400
Miguel Sano | 12164
Adam Frazier | 15223
Byron Buxton | 14161
Corey Seager | 13624
Ben Gamel | 12160
Eric Sogard | 7927
Justin Bour | 9744
Jake Marisnick | 11339
Hunter Renfroe | 15464
Mike Trout | 10155
Khris Davis | 9112
Brett Gardner | 9927
Ryon Healy | 15447
Chris Young | 3882
Brandon Moss | 4467
Mikie Mahtook | 13130
Trea Turner | 16252
Tim Beckham | 7949
Tim Anderson | 15172
Whit Merrifield | 11281
Bradley Zimmer | 16221
Yolmer Sanchez | 11602
T.J. Rivera | 12495
Taylor Motter | 12399
Jay Bruce | 9892
Troy Tulowitzki | 3531
Jordy Mercer | 6547
Johan Camargo | 14950
Chad Pinder | 15191
Nick Williams | 14330
Miguel Rojas | 7802
Jose Iglesias | 10231
Matt Davidson | 7226
