Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerid
Robinson Cano,Mariners,7,25,29,11,8,3,0,0,8,3,4,0,6,0,0,0,1,0,0,.440,3269
Rhys Hoskins,Phillies,8,25,34,11,5,5,0,1,6,7,7,0,7,1,1,0,0,2,1,.440,16472
Chris Owings,Diamondbacks,9,26,29,11,8,2,0,1,8,6,3,0,9,0,0,0,0,1,0,.423,10030
Ryan Flaherty,Braves,8,29,35,12,8,4,0,0,7,3,5,2,6,1,0,0,1,2,0,.414,7888
Dansby Swanson,Braves,8,34,35,13,8,3,1,1,5,7,1,0,6,0,0,0,0,1,0,.382,18314
Jean Segura,Mariners,7,29,32,11,8,3,0,0,6,2,3,0,5,0,0,0,2,1,0,.379,5933
Didi Gregorius,Yankees,10,32,42,12,2,6,1,3,10,10,9,1,3,1,0,0,2,2,1,.375,6012
Matt Chapman,Athletics,11,40,45,15,10,1,1,3,9,8,5,0,9,0,0,0,1,0,0,.375,16505
Elvis Andrus,Rangers,11,43,47,16,12,3,0,1,5,4,4,0,1,0,0,0,2,0,1,.372,8709
Preston Tucker,Braves,9,27,30,10,6,2,0,2,5,9,2,0,6,0,1,0,0,0,0,.370,13633
Jose Altuve,Astros,10,38,43,14,12,2,0,0,7,3,4,0,4,0,1,0,0,1,0,.368,5417
Xander Bogaerts,Red Sox,9,38,40,14,5,7,0,2,7,9,2,0,7,0,0,0,0,0,0,.368,12161
Freddie Freeman,Braves,9,30,43,11,4,5,0,2,10,11,13,2,4,0,0,0,0,0,0,.367,5361
Dee Gordon,Mariners,7,30,33,11,10,0,0,1,4,3,2,0,5,0,0,1,0,3,0,.367,8203
Joe Mauer,Twins,6,22,26,8,5,3,0,0,4,1,4,0,2,0,0,0,0,0,0,.364,1857
Freddy Galvis,Padres,10,33,40,12,10,1,0,1,2,5,7,0,7,0,0,0,0,0,3,.364,6609
Mookie Betts,Red Sox,9,33,40,12,8,3,0,1,8,2,5,1,3,2,0,0,0,2,1,.364,13611
Ben Zobrist,Cubs,8,25,29,9,7,1,0,1,2,3,4,0,2,0,0,0,0,0,0,.360,7435
Odubel Herrera,Phillies,7,25,27,9,6,3,0,0,6,1,2,0,4,0,0,0,0,1,0,.360,11476
Andrelton Simmons,Angels,10,42,43,15,13,2,0,0,7,7,1,0,2,0,0,0,0,0,0,.357,10847
Bryce Harper,Nationals,9,28,43,10,4,0,0,6,10,12,13,0,5,0,2,0,0,1,0,.357,11579
Justin Smoak,Blue Jays,10,37,44,13,6,5,0,2,8,10,5,0,12,1,1,0,1,0,0,.351,9054
Josh Reddick,Astros,8,26,31,9,6,0,0,3,6,7,5,0,8,0,0,0,1,0,1,.346,3892
Adam Eaton,Nationals,8,29,33,10,5,3,0,2,10,5,3,0,2,1,0,0,0,0,0,.345,11205
Colin Moran,Pirates,8,29,31,10,7,2,0,1,5,8,2,0,3,0,0,0,0,0,1,.345,16909
Howie Kendrick,Nationals,8,32,34,11,7,4,0,0,2,2,1,1,4,1,0,0,1,0,0,.344,4229
Joe Panik,Giants,8,32,36,11,8,0,0,3,6,3,3,0,3,0,0,1,2,0,0,.344,11936
Avisail Garcia,White Sox,8,35,37,12,9,2,0,1,5,3,0,0,6,1,1,0,3,0,1,.343,5760
A.J. Pollock,Diamondbacks,9,35,40,12,4,6,1,1,7,6,5,0,10,0,0,0,1,3,0,.343,9256
Josh Harrison,Pirates,9,38,44,13,10,2,0,1,11,5,5,0,5,0,1,0,1,1,0,.342,8202
Jed Lowrie,Athletics,11,44,49,15,10,3,0,2,3,7,5,0,11,0,0,0,0,0,0,.341,4418
Asdrubal Cabrera,Mets,8,33,37,11,7,3,0,1,6,3,3,0,5,1,0,0,0,0,0,.333,4962
Mitch Haniger,Mariners,7,24,30,8,5,1,0,2,4,6,5,1,3,1,0,0,0,0,0,.333,14274
Shin-Soo Choo,Rangers,10,40,44,13,7,3,0,3,6,6,3,0,6,1,0,0,2,0,0,.325,3174
Nick Markakis,Braves,9,37,43,12,8,2,0,2,7,7,6,0,6,0,0,0,1,0,1,.324,5930
Hanley Ramirez,Red Sox,8,37,39,12,9,2,0,1,5,8,2,0,8,0,0,0,1,2,0,.324,8001
Nolan Arenado,Rockies,10,37,44,12,8,3,0,1,5,6,6,2,7,0,1,0,0,1,1,.324,9777
Kris Bryant,Cubs,9,37,46,12,6,3,1,2,5,6,8,2,7,1,0,0,0,0,1,.324,15429
David Peralta,Diamondbacks,8,34,40,11,8,1,0,2,7,6,5,0,9,1,0,0,1,1,0,.324,2136
Nicholas Castellanos,Tigers,8,34,38,11,7,2,2,0,8,3,4,0,8,0,0,0,0,0,0,.324,11737
Josh Bell,Pirates,9,34,40,11,9,1,0,1,6,6,5,0,7,0,1,0,0,0,2,.324,13145
Rafael Devers,Red Sox,8,31,36,10,5,4,0,1,2,9,5,2,6,0,0,0,0,0,1,.323,17350
Cameron Maybin,Marlins,9,28,32,9,6,3,0,0,1,2,4,1,7,0,0,0,0,1,1,.321,5223
Jordy Mercer,Pirates,8,28,33,9,5,4,0,0,5,2,3,1,4,1,1,0,0,0,0,.321,6547
Yasmani Grandal,Dodgers,8,28,32,9,7,1,0,1,4,3,4,0,10,0,0,0,0,0,0,.321,11368
Marcell Ozuna,Cardinals,9,38,38,12,10,1,0,1,4,5,0,0,12,0,0,0,0,0,0,.316,10324
Jose Martinez,Cardinals,9,32,37,10,8,0,0,2,3,8,3,0,3,1,1,0,1,0,0,.313,7996
Cesar Hernandez,Phillies,8,29,36,9,6,2,0,1,5,2,7,0,9,0,0,0,2,2,1,.310,10556
Gregory Polanco,Pirates,8,29,39,9,2,4,0,3,8,13,8,1,6,0,1,0,0,1,0,.310,12907
Carlos Correa,Astros,9,29,34,9,4,3,0,2,7,9,3,0,8,0,2,0,2,1,0,.310,14162
Manny Machado,Orioles,10,42,48,13,9,2,0,2,4,5,6,0,10,0,0,0,1,1,0,.310,11493
Yangervis Solarte,Blue Jays,8,26,34,8,4,2,0,2,5,3,8,1,3,0,0,0,2,0,0,.308,5352
Buster Posey,Giants,8,26,30,8,5,2,0,1,4,3,4,0,3,0,0,0,1,1,1,.308,9166
Nomar Mazara,Rangers,11,36,40,11,9,1,0,1,6,2,3,0,9,1,0,0,2,0,0,.306,14553
