Name,Team,BABIP,GB/FB,LD,GB,FB,IFFB,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull,Cent,Oppo,Soft,Med,Hard,playerid
Zach Britton,Orioles,.230,9.14,11.3 ,80.0 ,8.8 ,0.0 ,7.1 ,5,0.67,376,651,1027,42.0 ,40.1 ,17.9 ,30.9 ,54.3 ,14.8 ,3240
Sam Dyson,Rangers,.291,4.09,18.9 ,65.2 ,15.9 ,15.6 ,15.6 ,10,1.28,348,642,990,44.6 ,37.3 ,18.1 ,25.0 ,47.6 ,27.5 ,11710
Michael Lorenzen,Reds,.277,3.82,20.9 ,62.7 ,16.4 ,9.1 ,22.7 ,29,5.22,267,488,755,41.5 ,32.6 ,25.9 ,22.2 ,54.8 ,23.0 ,14843
Jeremy Jeffress,- - -,.303,3.75,23.6 ,60.3 ,16.1 ,3.6 ,7.1 ,24,3.72,296,571,867,32.8 ,39.0 ,28.3 ,22.0 ,60.5 ,17.5 ,9490
Brad Ziegler,- - -,.325,3.60,19.1 ,63.3 ,17.6 ,5.7 ,5.7 ,20,2.65,381,654,1035,43.6 ,37.6 ,18.8 ,17.3 ,51.5 ,31.2 ,7293
Blake Treinen,Nationals,.280,3.33,14.4 ,65.9 ,19.8 ,0.0 ,15.2 ,29,3.90,389,613,1002,37.3 ,35.5 ,27.2 ,27.8 ,49.1 ,23.1 ,12572
Mike Montgomery,- - -,.278,3.32,23.4 ,58.9 ,17.7 ,12.9 ,6.5 ,31,4.34,385,590,975,44.9 ,34.8 ,20.2 ,20.8 ,56.7 ,22.5 ,4869
Jeurys Familia,Mets,.304,3.32,17.6 ,63.3 ,19.1 ,7.9 ,2.6 ,3,0.35,439,823,1262,33.7 ,38.1 ,28.3 ,31.7 ,48.3 ,20.0 ,5114
Dan Otero,Indians,.260,3.18,18.1 ,62.3 ,19.6 ,10.3 ,5.1 ,32,4.08,319,682,1001,37.6 ,40.1 ,22.3 ,21.3 ,57.9 ,20.8 ,7385
Matt Bowman,Cardinals,.270,3.18,18.9 ,61.7 ,19.4 ,7.5 ,10.0 ,37,4.92,394,666,1060,45.2 ,33.2 ,21.6 ,24.5 ,54.3 ,21.2 ,13528
Brandon Kintzler,Twins,.310,3.11,18.2 ,61.9 ,19.9 ,5.7 ,14.3 ,10,1.66,275,553,828,30.2 ,34.6 ,35.2 ,22.4 ,48.0 ,29.6 ,9939
Alex Claudio,Rangers,.312,3.06,17.0 ,62.6 ,20.5 ,8.6 ,5.7 ,37,6.45,264,525,789,37.2 ,36.6 ,26.2 ,26.7 ,45.4 ,27.9 ,12890
J.P. Howell,Dodgers,.338,2.68,18.8 ,59.1 ,22.1 ,2.9 ,11.8 ,28,4.97,349,534,883,36.7 ,37.3 ,26.0 ,21.5 ,50.0 ,28.5 ,8245
Trevor Cahill,Cubs,.252,2.60,22.7 ,55.8 ,21.5 ,2.9 ,20.0 ,22,3.26,453,626,1079,46.4 ,33.7 ,19.9 ,20.5 ,48.2 ,31.3 ,6249
Zach Duke,- - -,.297,2.50,17.6 ,58.8 ,23.5 ,22.2 ,5.6 ,23,3.39,392,622,1014,38.2 ,38.2 ,23.6 ,28.7 ,50.3 ,21.0 ,3840
Fernando Rodney,- - -,.302,2.43,22.1 ,55.2 ,22.7 ,5.4 ,13.5 ,13,1.79,460,689,1149,46.1 ,31.1 ,22.8 ,24.6 ,50.9 ,24.6 ,494
Dan Jennings,White Sox,.309,2.43,23.9 ,53.9 ,22.2 ,17.5 ,2.5 ,41,6.08,406,621,1027,40.1 ,34.1 ,25.8 ,29.1 ,45.6 ,25.3 ,8073
Jim Johnson,Braves,.314,2.41,22.2 ,55.0 ,22.8 ,2.6 ,7.7 ,15,2.09,386,668,1054,34.9 ,42.9 ,22.3 ,22.3 ,50.9 ,26.9 ,3656
Ian Krol,Braves,.355,2.39,20.6 ,56.0 ,23.4 ,9.1 ,12.1 ,23,4.06,315,575,890,35.9 ,40.7 ,23.5 ,16.6 ,57.2 ,26.2 ,10066
Will Harris,Astros,.293,2.33,17.2 ,58.0 ,24.9 ,7.1 ,7.1 ,12,1.69,370,675,1045,40.2 ,30.2 ,29.6 ,17.8 ,51.5 ,30.8 ,3192
Luke Gregerson,Astros,.239,2.33,14.3 ,60.0 ,25.7 ,11.1 ,13.9 ,19,2.97,298,554,852,43.4 ,38.5 ,18.2 ,24.5 ,47.6 ,28.0 ,4090
Jared Hughes,Pirates,.295,2.20,15.8 ,57.9 ,26.3 ,2.0 ,12.0 ,30,4.55,351,557,908,43.4 ,35.2 ,21.4 ,20.9 ,49.0 ,30.1 ,9325
Mark Melancon,- - -,.259,2.15,20.5 ,54.2 ,25.3 ,4.2 ,6.3 ,3,0.38,337,686,1023,40.1 ,34.4 ,25.5 ,30.2 ,46.4 ,23.4 ,4264
Kyle Ryan,Tigers,.269,2.13,17.5 ,56.1 ,26.3 ,6.7 ,4.4 ,31,5.01,301,536,837,40.5 ,39.3 ,20.2 ,16.8 ,53.8 ,29.5 ,11753
Brian Flynn,Royals,.216,2.05,17.5 ,55.5 ,27.0 ,10.8 ,10.8 ,23,3.91,308,464,772,45.5 ,32.9 ,21.7 ,16.8 ,50.4 ,32.9 ,12027
Dellin Betances,Yankees,.353,2.00,19.1 ,53.9 ,27.0 ,15.8 ,13.2 ,26,3.21,468,782,1250,41.7 ,31.3 ,27.1 ,25.7 ,41.7 ,32.6 ,6216
John Axford,Athletics,.311,2.00,18.8 ,54.2 ,27.1 ,7.7 ,11.5 ,33,4.52,480,714,1194,32.7 ,35.2 ,32.1 ,18.4 ,53.6 ,28.1 ,9059
Jeanmar Gomez,Phillies,.327,1.98,21.8 ,52.0 ,26.2 ,5.1 ,10.2 ,6,0.79,443,711,1154,37.2 ,36.7 ,26.1 ,21.7 ,50.9 ,27.4 ,9033
Joe Biagini,Blue Jays,.320,1.98,21.5 ,52.2 ,26.3 ,11.1 ,5.6 ,34,4.52,395,722,1117,36.4 ,35.4 ,28.2 ,17.7 ,59.3 ,23.0 ,13194
Scott Feldman,- - -,.311,1.98,18.8 ,53.9 ,27.3 ,2.2 ,15.6 ,26,4.47,309,562,871,45.6 ,24.6 ,29.8 ,22.2 ,52.6 ,25.2 ,6283
Bryan Shaw,Indians,.284,1.96,18.9 ,53.7 ,27.4 ,8.3 ,16.7 ,31,4.19,438,720,1158,33.3 ,36.7 ,29.9 ,21.5 ,58.2 ,20.3 ,8110
Jhan Marinez,- - -,.309,1.94,23.8 ,50.3 ,25.9 ,10.2 ,8.2 ,27,3.90,355,598,953,42.7 ,34.9 ,22.4 ,19.8 ,51.0 ,29.2 ,5830
Blake Wood,Reds,.315,1.93,19.3 ,53.1 ,27.5 ,10.5 ,15.8 ,41,4.81,508,805,1313,32.7 ,39.4 ,27.9 ,18.8 ,48.1 ,33.2 ,1345
