Name,Team,BABIP,GB/FB,LD,GB,FB,IFFB,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull,Cent,Oppo,Soft,Med,Hard,playerid
Marcus Stroman,Blue Jays,.308,2.95,19.6 ,60.1 ,20.4 ,5.5 ,16.5 ,104,4.59,1102,2000,3102,43.7 ,34.1 ,22.2 ,18.3 ,50.0 ,31.8 ,13431
Luis Perdomo,Padres,.316,2.95,18.1 ,61.1 ,20.7 ,3.8 ,22.5 ,66,5.08,646,1166,1812,43.6 ,38.5 ,18.0 ,17.4 ,48.5 ,34.1 ,14682
Dallas Keuchel,Astros,.304,2.33,19.0 ,56.7 ,24.4 ,10.7 ,16.4 ,76,4.07,996,1674,2670,42.2 ,39.1 ,18.7 ,21.1 ,49.1 ,29.8 ,9434
Jaime Garcia,Cardinals,.309,2.27,18.4 ,56.6 ,25.0 ,6.3 ,19.8 ,91,4.94,910,1588,2498,45.8 ,32.7 ,21.5 ,18.4 ,50.3 ,31.3 ,8137
Tyler Chatwood,Rockies,.286,2.23,17.2 ,57.2 ,25.6 ,5.8 ,12.4 ,76,4.33,1010,1536,2546,35.8 ,37.9 ,26.3 ,19.0 ,51.6 ,29.5 ,4338
Aaron Nola,Phillies,.334,2.23,20.0 ,55.2 ,24.8 ,3.8 ,12.8 ,58,4.70,608,1188,1796,42.5 ,36.1 ,21.4 ,23.2 ,48.0 ,28.8 ,16149
Carlos Martinez,Cardinals,.286,2.18,17.6 ,56.4 ,25.9 ,5.0 ,10.6 ,120,5.53,1067,1961,3028,37.2 ,35.2 ,27.6 ,19.1 ,51.3 ,29.6 ,11682
Aaron Sanchez,Blue Jays,.267,2.16,20.5 ,54.4 ,25.1 ,7.1 ,10.7 ,120,5.63,1091,1828,2919,36.2 ,34.2 ,29.6 ,20.7 ,49.0 ,30.3 ,11490
Mike Leake,Cardinals,.318,2.12,21.0 ,53.7 ,25.3 ,4.1 ,13.5 ,94,4.79,897,1762,2659,38.0 ,37.7 ,24.4 ,17.3 ,52.1 ,30.6 ,10130
Mike Pelfrey,Tigers,.350,2.07,21.4 ,53.0 ,25.6 ,16.3 ,13.5 ,54,4.31,789,1186,1975,33.6 ,39.1 ,27.3 ,20.3 ,48.8 ,30.9 ,5203
Martin Perez,Rangers,.286,2.02,20.4 ,53.2 ,26.4 ,5.2 ,10.4 ,98,4.44,1119,1959,3078,40.9 ,37.2 ,21.9 ,15.9 ,53.4 ,30.7 ,6902
Jon Niese,- - -,.315,1.97,20.7 ,52.6 ,26.7 ,6.4 ,23.4 ,65,5.48,644,1135,1779,43.7 ,32.6 ,23.8 ,15.8 ,50.8 ,33.4 ,4424
Sonny Gray,Athletics,.319,1.96,18.7 ,53.9 ,27.5 ,8.7 ,17.5 ,56,4.31,736,1211,1947,43.7 ,33.6 ,22.8 ,16.1 ,50.3 ,33.6 ,12768
Matt Garza,Brewers,.311,1.96,17.2 ,54.8 ,28.0 ,14.6 ,11.5 ,60,5.31,630,1087,1717,43.2 ,31.3 ,25.6 ,19.0 ,46.0 ,34.9 ,3340
Jameson Taillon,Pirates,.287,1.92,20.2 ,52.4 ,27.4 ,9.5 ,15.5 ,64,5.54,534,1016,1550,45.7 ,33.9 ,20.5 ,17.3 ,49.5 ,33.2 ,11674
Chad Bettis,Rockies,.310,1.91,22.0 ,51.2 ,26.8 ,5.1 ,13.9 ,132,6.39,1157,1898,3055,41.0 ,34.9 ,24.1 ,17.2 ,52.3 ,30.5 ,10587
Kendall Graveman,Athletics,.289,1.90,20.5 ,52.1 ,27.4 ,6.5 ,12.9 ,86,4.16,1043,1789,2832,42.2 ,36.4 ,21.4 ,17.0 ,53.9 ,29.1 ,15514
Patrick Corbin,Diamondbacks,.333,1.90,20.3 ,52.2 ,27.5 ,4.2 ,18.5 ,69,4.69,861,1322,2183,44.7 ,34.1 ,21.2 ,15.4 ,44.7 ,40.0 ,9323
Noah Syndergaard,Mets,.335,1.89,21.7 ,51.2 ,27.1 ,7.9 ,8.7 ,97,4.78,941,1977,2918,36.5 ,34.2 ,29.2 ,20.9 ,51.2 ,28.0 ,11762
Jake Arrieta,Cubs,.241,1.89,19.5 ,52.6 ,27.9 ,7.6 ,11.1 ,150,6.84,1152,1972,3124,38.6 ,38.4 ,22.9 ,22.9 ,51.8 ,25.2 ,4153
Steven Matz,Mets,.313,1.83,21.0 ,51.1 ,27.9 ,9.8 ,13.7 ,70,4.76,713,1440,2153,32.5 ,35.6 ,31.9 ,21.7 ,47.9 ,30.4 ,13361
Wily Peralta,Brewers,.336,1.82,22.5 ,50.0 ,27.5 ,4.5 ,17.1 ,63,4.44,842,1290,2132,36.7 ,39.4 ,23.9 ,16.7 ,50.2 ,33.1 ,7738
Ivan Nova,- - -,.306,1.80,18.9 ,52.2 ,28.9 ,8.3 ,16.7 ,76,4.62,724,1402,2126,43.6 ,33.4 ,23.0 ,18.3 ,47.2 ,34.5 ,1994
