pitch_type,pitch_id,game_date,start_speed,x0,z0,player_name,batter,pitcher,events,description,spin_dir,spin_rate,break_angle,break_length,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,px,pz,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs,tfs_zulu,catcher,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,hit_speed,hit_angle,effective_speed,release_spin_rate,release_extension,game_pk
CU,298,2017-04-09,82.11,-0.720570363833316,6.34218821926349,Noah Syndergaard,450172,592789,Sac Bunt,In play out(s),76.617,215.876,-3.1,9.4,4,Edinson Volquez out on a sacrifice bunt catcher Rene Rivera to second baseman Neil Walker.   Derek Dietrich to 3rd.    Miguel Rojas to 2nd.,R ,R,R,NYM,MIA,X,2,4,1,2,2017,1.206088744004772,-0.286904231374477,-0.414785981786959,2.25790845824709,null,518618,500743,1,5,top,128.87,196.02,14019,2017-04-10T01:40:19Z,425784,427413,170410_014028,0.35,-119.238339246014,-2.65,1.73,24.2,-32.58,3.32,1.51,null,null,null,80.84,2038,5.65,490185
SI,294,2017-04-09,96.42,-0.734704198118909,6.12987263364716,Noah Syndergaard,450172,592789,Sac Bunt,Foul Bunt,220.97,2822.05,51.5,4.4,4,Edinson Volquez out on a sacrifice bunt catcher Rene Rivera to second baseman Neil Walker.   Derek Dietrich to 3rd.    Miguel Rojas to 2nd.,R ,R,R,NYM,MIA,S,2,4,0,0,2017,-9.018484011647617,10.385058763006825,-0.286692509820429,2.56503322041753,null,518618,500743,1,5,top,128.87,196.02,13750,2017-04-10T01:37:50Z,425784,427413,170410_013756,4.47,-139.79075548072,-7.72,-17.83,31.78,-11.64,3.32,1.51,null,null,null,95.41,2135,5.92,490185
SL,295,2017-04-09,91.88,-0.560852855291485,6.25098591836054,Noah Syndergaard,450172,592789,Sac Bunt,Ball,178.956,1186.217,-2.3,5,12,Edinson Volquez out on a sacrifice bunt catcher Rene Rivera to second baseman Neil Walker.   Derek Dietrich to 3rd.    Miguel Rojas to 2nd.,R ,R,R,NYM,MIA,B,2,4,0,1,2017,0.1100448981074868,6.025966850898984,0.82574303596883,2.60650610980541,null,518618,500743,1,5,top,128.87,196.02,13823,2017-04-10T01:38:23Z,425784,427413,170410_013830,3.62,-133.477313647626,-5.59,0.2,27.73,-21.26,3.32,1.51,null,null,null,91.84,2049,6.27,490185
SL,297,2017-04-09,89.92,-0.650540307687466,6.20172149231333,Noah Syndergaard,450172,592789,Sac Bunt,Called Strike,205.511,938.568,6.6,6.1,6,Edinson Volquez out on a sacrifice bunt catcher Rene Rivera to second baseman Neil Walker.   Derek Dietrich to 3rd.    Miguel Rojas to 2nd.,R ,R,R,NYM,MIA,S,2,4,1,1,2017,-2.107770577119612,4.41659262904476,0.413419186774918,2.21463638106072,null,518618,500743,1,5,top,128.87,196.02,13935,2017-04-10T01:39:35Z,425784,427413,170410_013940,3.45,-130.594444807826,-5.52,-3.64,27.59,-24.55,3.32,1.51,null,null,null,89.66,2084,6.23,490185
SL,406,2017-04-09,91.56,-0.600134393424658,6.22705800841433,Noah Syndergaard,518618,592789,Groundout,Ball,187.642,822.105,0.3,5.8,14,Derek Dietrich grounds out first baseman Lucas Duda to pitcher Noah Syndergaard.  ,R ,L,R,NYM,MIA,B,3,4,2,2,2017,-0.554079903725468,4.128430668049056,1.18907233005158,2.04989086267198,null,null,null,2,7,top,126.93,201.52,21456,2017-04-10T02:14:56Z,425784,427413,170410_021502,4.91,-132.971817394563,-6.33,-1,25.75,-24.71,3.41,1.57,null,null,null,91.09,2164,5.89,490185
CH,407,2017-04-09,89.08,-0.467912180248972,6.19669994927547,Noah Syndergaard,518618,592789,Groundout,In play out(s),242.42,2380.68,38.3,7,11,Derek Dietrich grounds out first baseman Lucas Duda to pitcher Noah Syndergaard.  ,R ,L,R,NYM,MIA,X,3,4,3,2,2017,-11.05818622324741,5.776036754732412,-0.768694481646629,2.95168537409242,null,null,null,2,7,top,126.93,201.52,21521,2017-04-10T02:15:21Z,425784,427413,170410_021526,2.91,-129.551759144899,-3.95,-18.84,26.39,-22.33,3.41,1.57,7,69.7,-21.38,89.21,1618,6.34,490185
CU,402,2017-04-09,85.47,-0.672082271633429,6.18772748864299,Noah Syndergaard,518618,592789,Groundout,Ball,80.507,494.187,-7.2,9.1,14,Derek Dietrich grounds out first baseman Lucas Duda to pitcher Noah Syndergaard.  ,R ,L,R,NYM,MIA,B,3,4,0,0,2017,2.694126051691692,-0.450486665404963,0.143288563996808,0.351430144422532,null,null,null,2,7,top,126.93,201.52,21330,2017-04-10T02:13:30Z,425784,427413,170410_021335,1.14,-123.995230259522,-7.51,4.17,26.37,-32.87,3.41,1.57,null,null,null,84.09,2267,5.69,490185
SI,403,2017-04-09,97.57,-0.518301083273151,6.30289464353877,Noah Syndergaard,518618,592789,Groundout,Ball,225.249,2700.902,50.2,4.5,12,Derek Dietrich grounds out first baseman Lucas Duda to pitcher Noah Syndergaard.  ,R ,L,R,NYM,MIA,B,3,4,1,0,2017,-9.194770928056055,9.114924838999176,0.303315153436882,3.88005480081166,null,null,null,2,7,top,126.93,201.52,21354,2017-04-10T02:13:54Z,425784,427413,170410_021358,5.65,-141.672253576651,-4.35,-18.73,31.66,-13.61,3.41,1.57,null,null,null,97.11,2282,6.09,490185
SL,404,2017-04-09,91.77,-0.456379220202436,6.17321090579025,Noah Syndergaard,518618,592789,Groundout,Called Strike,174.07,643.206,-2,6,6,Derek Dietrich grounds out first baseman Lucas Duda to pitcher Noah Syndergaard.  ,R ,L,R,NYM,MIA,S,3,4,2,0,2017,0.3331411905306948,3.2065289299431483,0.328635168278263,2.26956466412923,null,null,null,2,7,top,126.93,201.52,21411,2017-04-10T02:14:11Z,425784,427413,170410_021416,1.97,-133.513593915863,-5.41,0.61,24.1,-26.29,3.41,1.57,null,null,null,91.93,2146,6.03,490185
SL,405,2017-04-09,90.7,-0.465212863826789,6.16424699881266,Noah Syndergaard,518618,592789,Groundout,Swinging Strike,185.217,868.401,0.6,5.8,14,Derek Dietrich grounds out first baseman Lucas Duda to pitcher Noah Syndergaard.  ,R ,L,R,NYM,MIA,S,3,4,2,1,2017,-0.401210199280324,4.392683251540812,0.601078816604592,1.13387038587583,null,null,null,2,7,top,126.93,201.52,21430,2017-04-10T02:14:30Z,425784,427413,170410_021435,2.93,-131.790376839919,-8.54,-0.72,23.58,-24.32,3.41,1.57,null,null,null,90.68,2201,6,490185
