"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","game_pk","at_bat_number","pitch_number"
"CU","2017-05-19","71.6","-2.9135","5.9897","Jered Weaver",592836,450308,"single","hit_into_play_score",,,,,"6","Taijuan Walker singles on a ground ball to center fielder Manuel Margot.   Chris Owings scores.  ","R","R","R","SD","ARI","X","null","ground_ball",1,2,2017,"-0.3417","-0.0389","0.6505","2.8930","572008.00","null","null",2,1,"Top","122.19","103.32",,,595978,,"170520_022915",,,,,,,"3.7461","1.5351","17","94.1","-11.2700","70.2290","2456","5.4440",490718,450308,595978,571976,500208,572114,430947,605486,622534,592669,"55.0549","0.205","0.193","0.90",1,1,0,2,490718,9,"4"
"SL","2017-05-19","79.8","-2.8013","5.8800","Jered Weaver",425772,450308,"field_out","hit_into_play",,,,,"14","Jeff Mathis grounds out, second baseman Yangervis Solarte to first baseman Wil Myers.   Chris Owings to 3rd.  ","R","R","R","SD","ARI","X","4","ground_ball",0,1,2017,"0.2158","0.9365","1.1636","2.2422","null","572008.00","null",1,1,"Top","140.40","141.03",,,595978,,"170520_022738",,,,,,,"3.6761","1.5041","35","72.7","-1.3490","78.6560","2367","5.6400",490718,450308,595978,571976,500208,572114,430947,605486,622534,592669,"54.8583","0.134","0.126","0.00",1,0,0,2,490718,8,"2"
"FT","2017-05-19","80.9","-3.1542","5.7870","Jered Weaver",572008,450308,"double","hit_into_play_no_out",,,,,"9","Chris Owings doubles (8) on a sharp line drive to center fielder Manuel Margot.  ","R","R","R","SD","ARI","X","null","line_drive",1,2,2017,"0.3211","0.8043","0.5485","1.6147","null","null","null",1,1,"Top","106.82","49.60",,,595978,,"170520_022614",,,,,,,"3.1601","1.4701","359","101.5","15.2560","80.4890","2412","5.9400",490718,450308,595978,571976,500208,572114,430947,605486,622534,592669,"54.5583","0.617","0.688","1.25",1,1,1,4,490718,7,"5"
"CH","2017-05-19","76.9","-2.6875","5.9364","Jered Weaver",592273,450308,"home_run","hit_into_play_score",,,,,"8","Brandon Drury homers (4) on a fly ball to left center field.   Yasmany Tomas scores.  ","R","R","R","SD","ARI","X","null","fly_ball",0,1,2017,"1.3795","1.3189","-0.1684","2.2843","null","null","630111.00",1,1,"Top","71.02","31.28",,,595978,,"170520_022419",,,,,,,"3.6901","1.6701","382","99.2","29.8580","76.1280","1963","5.8680",490718,450308,595978,571976,500208,572114,430947,605486,622534,592669,"54.6305","0.513","0.938","2.00",1,0,3,6,490718,6,"2"
"FT","2017-05-19","82.9","-2.6217","5.8171","Jered Weaver",571875,450308,"home_run","hit_into_play_score",,,,,"4","Jake Lamb homers (10) on a fly ball to right center field.    Gregor Blanco scores.    Paul Goldschmidt scores.  ","R","L","R","SD","ARI","X","null","fly_ball",1,2,2017,"1.4304","0.9031","-0.3233","2.8403","453923.00","502671.00","null",1,1,"Top","208.04","43.99",,,595978,,"170520_022038",,,,,,,"3.6001","1.6301","424","107.3","24.9510","82.8170","2081","5.9460",490718,450308,595978,571976,500208,572114,430947,605486,622534,592669,"54.5528","0.961","1.848","2.00",1,0,3,6,490718,4,"5"
"CH","2017-05-19","76.2","-2.6803","6.1034","Jered Weaver",444482,450308,"field_out","hit_into_play",,,,,"5","David Peralta pops out to shortstop Erick Aybar.  ","R","L","R","SD","ARI","X","6","popup",2,1,2017,"1.3611","1.6646","-0.2599","2.1754","null","null","453923.00",0,1,"Top","117.71","165.52",,,595978,,"170520_021514",,,,,,,"3.6442","1.4632","null","80.0","69.0000","74.9670","1906","5.5050",490718,450308,595978,571976,500208,572114,430947,605486,622534,592669,"54.9935","0.000","0.001","0.00",1,0,0,3,490718,2,"4"
"CH","2017-05-19","75.3","-3.0209","6.0141","Jered Weaver",453923,450308,"single","hit_into_play_no_out",,,,,"7","Gregor Blanco singles on a soft ground ball to shortstop Erick Aybar.  ","R","L","R","SD","ARI","X","null","ground_ball",2,2,2017,"1.6155","1.4645","-0.6206","2.0049","null","null","null",0,1,"Top","106.54","160.94",,,595978,,"170520_021301",,,,,,,"3.1702","1.5002","5","44.6","-44.7190","74.3110","1938","5.9330",490718,450308,595978,571976,500208,572114,430947,605486,622534,592669,"54.5659","0.223","0.209","0.90",1,1,0,1,490718,1,"5"
"CU","2017-05-14","72.8","-2.6225","6.0796","Jered Weaver",453943,450308,"field_out","hit_into_play",,,,,"2","Todd Frazier pops out to second baseman Yangervis Solarte.  ","R","R","R","CWS","SD","X","4","popup",2,0,2017,"-0.2370","0.2809","-0.0238","3.2198","null","null","541645.00",1,6,"Bot","164.04","145.10",,,620443,,"170514_195913",,,,,,,"3.8644","1.6005","180","88.2","60.8682","null","2401","5.7836",490666,450308,620443,571976,500208,605486,596143,519333,622534,592669,"54.7156","0.013","0.015","0.00",1,0,0,3,490666,44,"3"
"SL","2017-05-14","78.3","-3.1130","6.0704","Jered Weaver",541645,450308,"single","hit_into_play_no_out",,,,,"5","Avisail Garcia singles on a line drive to left fielder Matt Szczur.  ","R","R","R","CWS","SD","X","null","line_drive",0,1,2017,"-0.0697","1.0927","0.0711","2.4073","null","null","null",1,6,"Bot","80.53","134.02",,,620443,,"170514_195720",,,,,,,"3.5894","1.7195","192","84.3","15.0596","null","2417","5.7495",490666,450308,620443,571976,500208,605486,596143,519333,622534,592669,"54.7498","0.912","0.858","0.90",1,1,0,4,490666,43,"2"
"CH","2017-05-14","78.7","-2.8842","5.9641","Jered Weaver",570560,450308,"field_out","hit_into_play",,,,,"4","Yolmer Sanchez flies out to center fielder Manuel Margot.  ","R","L","R","CWS","SD","X","8","fly_ball",1,1,2017,"1.3210","1.6109","-0.7789","2.7267","553882.00","591994.00","null",2,5,"Bot","123.17","80.49",,,620443,,"170514_194056",,,,,,,"3.8644","1.6005","284","76.9","31.6260","null","1937","6.3545",490666,450308,620443,571976,500208,605486,596143,519333,622534,592669,"54.1448","0.104","0.107","0.00",1,0,0,3,490666,38,"3"
