"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","game_pk","at_bat_number","pitch_number"
"FF","2017-06-11","94.8","2.8675","5.7540","Robbie Ray",542583,592662,"walk","ball",,,,,"12","Jesus Aguilar walks.   Orlando Arcia to 2nd.  ","R","R","L","ARI","MIL","B","null","null",3,0,2017,"-0.9286","1.2258","2.0772","2.7056","null","null","606115.00",2,7,"Top","null","null",,,543302,,"170611_221735",,,,,,,"3.4900","1.6010","null","null","null","95.1130","2277","6.3130",491044,592662,543302,502671,592273,571875,605113,518614,453923,444482,"54.1863","0.000","0.000","0.70",1,0,0,"null",491044,49,"4"
"CU","2017-06-11","83.2","2.9132","5.7605","Robbie Ray",542583,592662,"null","ball",,,,,"14","null","R","R","L","ARI","MIL","B","null","null",2,0,2017,"-0.0908","-0.3720","0.9426","1.3788","null","null","606115.00",2,7,"Top","null","null",,,543302,,"170611_221712",,,,,,,"3.4900","1.6010","null","null","null","81.4970","1918","5.4650",491044,592662,543302,502671,592273,571875,605113,518614,453923,444482,"55.0345","0.000","0.000","null","null","null","null","null",491044,49,"3"
"FF","2017-06-11","94.4","3.0093","5.7129","Robbie Ray",542583,592662,"null","ball",,,,,"12","null","R","R","L","ARI","MIL","B","null","null",1,0,2017,"-0.7572","1.1340","1.3187","2.5965","null","null","606115.00",2,7,"Top","null","null",,,543302,,"170611_221649",,,,,,,"3.4900","1.6010","null","null","null","94.2340","2298","6.0930",491044,592662,543302,502671,592273,571875,605113,518614,453923,444482,"54.4069","0.000","0.000","null","null","null","null","null",491044,49,"2"
"CU","2017-06-11","83.4","2.7862","5.9987","Robbie Ray",542583,592662,"null","ball",,,,,"7","null","R","R","L","ARI","MIL","B","null","null",0,0,2017,"0.1790","-0.2434","-0.4382","1.7808","null","null","606115.00",2,7,"Top","null","null",,,543302,,"170611_221628",,,,,,,"3.4900","1.6010","null","null","null","82.2020","1779","5.4320",491044,592662,543302,502671,592273,571875,605113,518614,453923,444482,"55.0673","0.000","0.000","null","null","null","null","null",491044,49,"1"
"CU","2017-06-11","84.7","2.7204","5.8770","Robbie Ray",606115,592662,"walk","ball",,,,,"2","Orlando Arcia walks.  ","R","R","L","ARI","MIL","B","null","null",3,2,2017,"0.1449","-0.0223","0.2620","3.4232","null","null","null",2,7,"Top","null","null",,,543302,,"170611_221509",,,,,,,"3.3710","1.5350","null","null","null","84.2600","1713","5.9040",491044,592662,543302,502671,592273,571875,605113,518614,453923,444482,"54.5954","0.000","0.000","0.70",1,0,0,"null",491044,48,"7"
"FF","2017-06-11","96.4","2.7178","5.8311","Robbie Ray",606115,592662,"null","ball",,,,,"12","null","R","R","L","ARI","MIL","B","null","null",2,2,2017,"-0.8956","1.4035","0.3872","4.4156","null","null","null",2,7,"Top","null","null",,,543302,,"170611_221451",,,,,,,"3.2850","1.4870","null","null","null","96.0520","2282","6.1010",491044,592662,543302,502671,592273,571875,605113,518614,453923,444482,"54.3990","0.000","0.000","null","null","null","null","null",491044,48,"6"
"FF","2017-06-11","96.3","2.6629","5.8535","Robbie Ray",606115,592662,"null","foul",,,,,"1","null","R","R","L","ARI","MIL","S","null","null",2,2,2017,"-0.8107","1.0974","-0.5265","2.9834","null","null","null",2,7,"Top","null","null",,,543302,,"170611_221427",,,,,,,"3.2850","1.4870","null","null","null","96.1170","2267","6.2350",491044,592662,543302,502671,592273,571875,605113,518614,453923,444482,"54.2650","0.000","0.000","null","null","null","null","null",491044,48,"5"
"CU","2017-06-11","81.8","2.8448","5.7804","Robbie Ray",606115,592662,"null","swinging_strike",,,,,"14","null","R","R","L","ARI","MIL","S","null","null",2,1,2017,"-0.0547","-0.7967","0.5689","1.2877","null","null","null",2,7,"Top","null","null",,,543302,,"170611_221406",,,,,,,"3.2850","1.4870","null","null","null","81.3040","2001","5.7500",491044,592662,543302,502671,592273,571875,605113,518614,453923,444482,"54.7494","0.000","0.000","null","null","null","null","null",491044,48,"4"
"FF","2017-06-11","96.2","2.5987","5.7671","Robbie Ray",606115,592662,"null","ball",,,,,"7","null","R","R","L","ARI","MIL","B","null","null",1,1,2017,"-0.8434","1.4201","-0.8225","1.7864","null","null","null",2,7,"Top","null","null",,,543302,,"170611_221351",,,,,,,"3.2850","1.4870","null","null","null","95.9830","2382","6.3950",491044,592662,543302,502671,592273,571875,605113,518614,453923,444482,"54.1043","0.000","0.000","null","null","null","null","null",491044,48,"3"
"FF","2017-06-11","95.9","2.7119","5.8426","Robbie Ray",606115,592662,"null","called_strike",,,,,"4","null","R","R","L","ARI","MIL","S","null","null",1,0,2017,"-0.8959","1.2334","-0.7633","2.6439","null","null","null",2,7,"Top","null","null",,,543302,,"170611_221338",,,,,,,"3.2850","1.4870","null","null","null","95.3920","2305","6.1710",491044,592662,543302,502671,592273,571875,605113,518614,453923,444482,"54.3289","0.000","0.000","null","null","null","null","null",491044,48,"2"
"CU","2017-06-11","80.9","2.8204","6.0305","Robbie Ray",606115,592662,"null","ball",,,,,"7","null","R","R","L","ARI","MIL","B","null","null",0,0,2017,"0.3934","-0.7865","-0.5995","1.3659","null","null","null",2,7,"Top","null","null",,,543302,,"170611_221326",,,,,,,"3.2850","1.4870","null","null","null","80.1330","2121","5.6270",491044,592662,543302,502671,592273,571875,605113,518614,453923,444482,"54.8725","0.000","0.000","null","null","null","null","null",491044,48,"1"
"FF","2017-06-11","93.6","2.6592","5.8835","Robbie Ray",519299,592662,"strikeout","called_strike",,,,,"6","Eric Sogard called out on strikes.  ","R","L","L","ARI","MIL","S","null","null",1,2,2017,"-0.9549","1.2635","0.3648","2.1418","null","null","null",1,7,"Top","null","null",,,543302,,"170611_221252",,,,,,,"3.2850","1.4870","null","null","null","93.4320","2262","6.2990",491044,592662,543302,502671,592273,571875,605113,518614,453923,444482,"54.2003","0.000","0.000","0.00",1,0,0,"null",491044,47,"4"
