"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","game_pk","at_bat_number","pitch_number"
"CH","2017-06-09","82.1","-3.2202","6.0670","Tanner Roark",596059,543699,"home_run","hit_into_play_score",,,,,"2","Rougned Odor homers (9) on a fly ball to right field.  ","R","L","R","WSH","TEX","X","null","fly_ball",2,0,2017,"1.0599","0.9320","-0.0963","2.5417","null","null","null",0,7,"Top","215.71","54.03",,,446308,,"170610_010244",,,,,,,"2.8456","1.0878","401","104.6","22.3500","81.7520","1811","6.1050",491018,543699,446308,475582,502517,543685,607208,571718,572191,547180,"54.3918","0.862","1.440","2.00",1,0,3,6,491018,56,"3"
"CH","2017-06-09","82.4","-3.2330","5.8893","Tanner Roark",596059,543699,"null","ball",,,,,"13","null","R","L","R","WSH","TEX","B","null","null",1,0,2017,"0.6756","1.1592","-0.0343","0.8074","null","null","null",0,7,"Top","null","null",,,446308,,"170610_010219",,,,,,,"3.0033","1.2578","null","null","null","81.5930","1747","6.1810",491018,543699,446308,475582,502517,543685,607208,571718,572191,547180,"54.3162","0.000","0.000","null","null","null","null","null",491018,56,"2"
"FT","2017-06-09","91.1","-2.8674","6.1343","Tanner Roark",596059,543699,"null","ball",,,,,"14","null","R","L","R","WSH","TEX","B","null","null",0,0,2017,"0.7834","1.5470","0.8407","1.9665","null","null","null",0,7,"Top","null","null",,,446308,,"170610_010200",,,,,,,"3.1246","1.4277","null","null","null","90.4010","2049","6.2230",491018,543699,446308,475582,502517,543685,607208,571718,572191,547180,"54.2744","0.000","0.000","null","null","null","null","null",491018,56,"1"
"FT","2017-06-09","93.8","-2.5459","5.9926","Tanner Roark",518960,543699,"field_out","hit_into_play",,,,,"6","Jonathan Lucroy lines out to right fielder Bryce Harper.  ","R","R","R","WSH","TEX","X","9","line_drive",0,1,2017,"0.8520","1.3372","0.5006","2.6747","592261.00","425783.00","608577.00",2,6,"Top","201.32","104.36",,,446308,,"170610_004736",,,,,,,"3.3786","1.3694","287","95.4","16.7850","93.8030","2107","6.4690",491018,543699,446308,475582,502517,543685,607208,571718,572191,547180,"54.0280","0.470","0.511","0.00",1,0,0,4,491018,51,"2"
"FT","2017-06-09","92.2","-2.5344","6.0605","Tanner Roark",518960,543699,"null","called_strike",,,,,"4","null","R","R","R","WSH","TEX","S","null","null",0,0,2017,"1.2305","1.3220","-0.6069","2.5755","592261.00","425783.00","608577.00",2,6,"Top","null","null",,,446308,,"170610_004710",,,,,,,"3.8194","1.7842","null","null","null","92.1140","2016","6.4090",491018,543699,446308,475582,502517,543685,607208,571718,572191,547180,"54.0877","0.000","0.000","null","null","null","null","null",491018,51,"1"
"FT","2017-06-09","93.0","-3.0314","5.8272","Tanner Roark",608577,543699,"walk","ball",,,,,"11","Nomar Mazara walks.   Joey Gallo scores.    Delino DeShields to 3rd.    Shin-Soo Choo to 2nd.  ","R","L","R","WSH","TEX","B","null","null",3,0,2017,"0.8806","0.8118","-1.6485","3.9724","608336.00","592261.00","425783.00",2,6,"Top","null","null",,,446308,,"170610_004604",,,,,,,"3.4970","1.8327","null","null","null","92.6030","2121","6.0280",491018,543699,446308,475582,502517,543685,607208,571718,572191,547180,"54.4694","0.000","0.000","0.70",1,0,0,"null",491018,50,"4"
"FT","2017-06-09","93.8","-2.8480","6.1186","Tanner Roark",608577,543699,"null","ball",,,,,"12","null","R","L","R","WSH","TEX","B","null","null",2,0,2017,"0.9668","1.7246","0.6199","3.8246","608336.00","592261.00","425783.00",2,6,"Top","null","null",,,446308,,"170610_004541",,,,,,,"3.4849","1.7235","null","null","null","92.7490","2085","5.9780",491018,543699,446308,475582,502517,543685,607208,571718,572191,547180,"54.5193","0.000","0.000","null","null","null","null","null",491018,50,"3"
"FT","2017-06-09","93.0","-3.2187","5.7668","Tanner Roark",608577,543699,"null","ball",,,,,"11","null","R","L","R","WSH","TEX","B","null","null",1,0,2017,"1.1713","0.9281","-1.9095","3.7155","608336.00","592261.00","425783.00",2,6,"Top","null","null",,,446308,,"170610_004513",,,,,,,"3.5213","1.8327","null","null","null","92.6460","2040","6.0520",491018,543699,446308,475582,502517,543685,607208,571718,572191,547180,"54.4446","0.000","0.000","null","null","null","null","null",491018,50,"2"
"FT","2017-06-09","93.5","-2.8375","5.8515","Tanner Roark",608577,543699,"null","ball",,,,,"12","null","R","L","R","WSH","TEX","B","null","null",0,0,2017,"1.0526","1.3348","0.4493","3.6389","608336.00","592261.00","425783.00",2,6,"Top","null","null",,,446308,,"170610_004452",,,,,,,"3.4970","1.7599","null","null","null","92.7890","2137","5.9260",491018,543699,446308,475582,502517,543685,607208,571718,572191,547180,"54.5707","0.000","0.000","null","null","null","null","null",491018,50,"1"
"CU","2017-06-09","75.5","-2.7253","5.9290","Tanner Roark",462101,543699,"strikeout","swinging_strike",,,,,"14","Elvis Andrus strikes out swinging.  ","R","R","R","WSH","TEX","S","null","null",0,2,2017,"-0.9882","-0.7503","1.9887","1.7934","608336.00","592261.00","425783.00",1,6,"Top","null","null",,,446308,,"170610_004404",,,,,,,"3.0568","1.2286","null","null","null","74.4910","2839","6.1660",491018,543699,446308,475582,502517,543685,607208,571718,572191,547180,"54.3308","0.000","0.000","0.00",1,0,0,"null",491018,49,"3"
