Date,Team,Opp,GS,W,L,ERA,G,GS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
<a href=wins.aspx?date=2050-01-01&team=total&dh=0>2050-01-01</a>,- - -,- - -,260,91,82,4.33,264,260,4,2,0,0,0,1481.1,6482,1430,773,712,151,691,25,72,73,6,1275,49
<a href=wins.aspx?date=2017-06-03&team=Marlins&dh=0>2017-06-03</a>,MIA,ARI,1,1,0,0.00,1,1,1,1,0,0,0,9.0,27,0,0,0,0,2,0,0,0,0,10,100
<a href=wins.aspx?date=2017-05-29&team=Marlins&dh=0>2017-05-29</a>,MIA,PHI,1,1,0,1.50,1,1,0,0,0,0,0,6.0,22,3,1,1,0,2,0,0,0,0,4,67
<a href=wins.aspx?date=2017-05-24&team=Marlins&dh=0>2017-05-24</a>,MIA,@OAK,1,0,1,4.50,1,1,0,0,0,0,0,6.0,25,7,3,3,1,2,0,0,1,0,2,45
<a href=wins.aspx?date=2017-05-18&team=Marlins&dh=0>2017-05-18</a>,MIA,@LAD,1,0,1,7.50,1,1,0,0,0,0,0,6.0,27,8,5,5,1,3,1,1,0,0,4,37
<a href=wins.aspx?date=2017-05-13&team=Marlins&dh=0>2017-05-13</a>,MIA,ATL,1,0,1,3.00,1,1,0,0,0,0,0,6.0,24,4,2,2,0,2,0,1,1,0,5,63
<a href=wins.aspx?date=2017-05-02&team=Marlins&dh=0>2017-05-02</a>,MIA,TBR,1,0,1,6.23,1,1,0,0,0,0,0,4.1,23,3,3,3,1,8,0,0,0,0,9,38
<a href=wins.aspx?date=2017-04-27&team=Marlins&dh=0>2017-04-27</a>,MIA,@PHI,1,0,1,3.18,1,1,0,0,0,0,0,5.2,25,6,3,2,0,4,0,0,0,0,2,47
<a href=wins.aspx?date=2017-04-19&team=Marlins&dh=0>2017-04-19</a>,MIA,@SEA,1,0,1,12.00,1,1,0,0,0,0,0,3.0,16,5,4,4,0,4,0,0,1,0,3,31
<a href=wins.aspx?date=2017-04-14&team=Marlins&dh=0>2017-04-14</a>,MIA,NYM,1,0,0,3.86,1,1,0,0,0,0,0,4.2,23,5,2,2,1,4,0,0,0,0,5,43
<a href=wins.aspx?date=2017-04-09&team=Marlins&dh=0>2017-04-09</a>,MIA,@NYM,1,0,1,6.00,1,1,0,0,0,0,0,6.0,27,7,5,4,2,1,0,0,0,0,7,40
<a href=wins.aspx?date=2017-04-03&team=Marlins&dh=0>2017-04-03</a>,MIA,@WSN,1,0,0,0.00,1,1,0,0,0,0,0,5.0,19,4,0,0,0,1,0,0,0,0,6,66
<a href=wins.aspx?date=2016-10-01&team=Royals&dh=0>2016-10-01</a>,KCR,CLE,1,0,0,5.40,1,1,0,0,0,0,0,5.0,25,5,3,3,0,4,0,1,1,0,5,48
<a href=wins.aspx?date=2016-09-25&team=Royals&dh=0>2016-09-25</a>,KCR,@DET,1,0,0,13.50,1,1,0,0,0,0,0,2.2,17,6,4,4,1,4,0,0,1,0,1,19
<a href=wins.aspx?date=2016-09-20&team=Royals&dh=0>2016-09-20</a>,KCR,@CLE,1,0,0,1.35,1,1,0,0,0,0,0,6.2,27,4,1,1,1,3,0,0,0,0,5,62
<a href=wins.aspx?date=2016-09-15&team=Royals&dh=0>2016-09-15</a>,KCR,OAK,1,0,1,21.60,1,1,0,0,0,0,0,3.1,22,7,9,8,1,4,0,0,0,0,3,8
<a href=wins.aspx?date=2016-09-10&team=Royals&dh=0>2016-09-10</a>,KCR,@CHW,1,0,0,7.20,1,1,0,0,0,0,0,5.0,24,9,4,4,0,2,0,0,0,0,1,37
<a href=wins.aspx?date=2016-09-04&team=Royals&dh=0>2016-09-04</a>,KCR,DET,1,0,0,5.40,1,1,0,0,0,0,0,6.2,27,7,4,4,1,1,0,0,0,0,5,51
<a href=wins.aspx?date=2016-08-30&team=Royals&dh=0>2016-08-30</a>,KCR,NYY,1,0,0,10.80,1,1,0,0,0,0,0,3.1,21,9,4,4,1,2,0,0,0,0,5,25
<a href=wins.aspx?date=2016-08-25&team=Royals&dh=0>2016-08-25</a>,KCR,@MIA,1,1,0,0.00,1,1,0,0,0,0,0,5.0,22,3,2,0,0,1,0,1,0,0,2,58
<a href=wins.aspx?date=2016-08-19&team=Royals&dh=0>2016-08-19</a>,KCR,MIN,1,0,0,8.31,1,1,0,0,0,0,0,4.1,20,6,4,4,1,1,0,0,0,0,5,39
<a href=wins.aspx?date=2016-08-14&team=Royals&dh=0>2016-08-14</a>,KCR,@MIN,1,1,0,3.00,1,1,0,0,0,0,0,6.0,25,5,4,2,1,1,0,0,0,0,3,49
<a href=wins.aspx?date=2016-08-09&team=Royals&dh=0>2016-08-09</a>,KCR,CHW,1,0,0,6.00,1,1,0,0,0,0,0,6.0,28,10,4,4,0,1,0,0,0,0,2,44
<a href=wins.aspx?date=2016-08-03&team=Royals&dh=0>2016-08-03</a>,KCR,@TBR,1,0,1,12.60,1,1,0,0,0,0,0,5.0,28,11,8,7,2,3,0,0,0,1,3,9
<a href=wins.aspx?date=2016-07-29&team=Royals&dh=0>2016-07-29</a>,KCR,@TEX,1,0,1,7.50,1,1,0,0,0,0,0,6.0,29,9,6,5,2,2,0,1,0,0,5,29
<a href=wins.aspx?date=2016-07-24&team=Royals&dh=0>2016-07-24</a>,KCR,TEX,1,0,0,1.50,1,1,0,0,0,0,0,6.0,26,7,1,1,0,3,0,0,0,0,3,56
<a href=wins.aspx?date=2016-07-18&team=Royals&dh=0>2016-07-18</a>,KCR,CLE,1,0,0,2.57,1,1,0,0,0,0,0,7.0,27,4,2,2,1,3,0,0,0,0,6,62
<a href=wins.aspx?date=2016-07-09&team=Royals&dh=0>2016-07-09</a>,KCR,SEA,1,1,0,4.50,1,1,0,0,0,0,0,6.0,24,6,3,3,1,1,0,0,0,0,3,50
<a href=wins.aspx?date=2016-07-04&team=Royals&dh=0>2016-07-04</a>,KCR,@TOR,1,0,1,6.00,1,1,0,0,0,0,0,6.0,25,4,4,4,0,3,0,1,0,0,5,55
<a href=wins.aspx?date=2016-06-29&team=Royals&dh=0>2016-06-29</a>,KCR,@STL,1,0,0,0.00,1,1,0,0,0,0,0,6.2,27,6,0,0,0,1,0,0,0,0,4,70
<a href=wins.aspx?date=2016-06-24&team=Royals&dh=0>2016-06-24</a>,KCR,HOU,1,0,1,99.00,1,1,0,0,0,0,0,1.0,15,8,12,11,1,3,0,0,0,0,0,-18
<a href=wins.aspx?date=2016-06-18&team=Royals&dh=0>2016-06-18</a>,KCR,DET,1,1,0,7.11,1,1,0,0,0,0,0,6.1,27,8,5,5,1,0,0,1,0,0,6,47
<a href=wins.aspx?date=2016-06-13&team=Royals&dh=0>2016-06-13</a>,KCR,CLE,1,1,0,0.00,1,1,0,0,0,0,0,7.0,28,2,0,0,0,4,0,1,0,0,3,73
<a href=wins.aspx?date=2016-06-08&team=Royals&dh=0>2016-06-08</a>,KCR,@BAL,1,0,1,7.71,1,1,0,0,0,0,0,4.2,20,4,4,4,0,2,0,0,0,0,5,49
<a href=wins.aspx?date=2016-06-03&team=Royals&dh=0>2016-06-03</a>,KCR,@CLE,1,0,1,7.11,1,1,0,0,0,0,0,6.1,29,7,5,5,2,4,0,0,2,0,5,34
<a href=wins.aspx?date=2016-05-29&team=Royals&dh=0>2016-05-29</a>,KCR,CHW,1,0,0,4.50,1,1,0,0,0,0,0,6.0,24,7,3,3,0,1,0,0,0,0,5,56
<a href=wins.aspx?date=2016-05-24&team=Royals&dh=0>2016-05-24</a>,KCR,@MIN,1,1,0,2.70,1,1,0,0,0,0,0,6.2,29,6,4,2,0,3,0,1,0,0,6,56
<a href=wins.aspx?date=2016-05-18&team=Royals&dh=2>2016-05-18</a>,KCR,BOS,1,0,1,6.00,1,1,0,0,0,0,0,6.0,27,7,4,4,2,4,1,0,0,0,5,35
<a href=wins.aspx?date=2016-05-13&team=Royals&dh=0>2016-05-13</a>,KCR,ATL,1,1,0,1.29,1,1,0,0,0,0,0,7.0,28,6,1,1,0,0,0,0,0,0,2,69
<a href=wins.aspx?date=2016-05-08&team=Royals&dh=0>2016-05-08</a>,KCR,@CLE,1,0,1,10.38,1,1,0,0,0,0,0,4.1,25,7,5,5,2,4,0,0,0,0,4,21
<a href=wins.aspx?date=2016-05-02&team=Royals&dh=0>2016-05-02</a>,KCR,WSN,1,0,1,2.35,1,1,0,0,0,0,0,7.2,29,7,2,2,0,1,0,0,0,0,7,71
<a href=wins.aspx?date=2016-04-26&team=Royals&dh=0>2016-04-26</a>,KCR,@LAA,1,0,1,14.40,1,1,0,0,0,0,0,5.0,29,12,8,8,1,2,0,0,0,0,3,15
<a href=wins.aspx?date=2016-04-21&team=Royals&dh=0>2016-04-21</a>,KCR,DET,1,1,0,0.00,1,1,0,0,0,0,0,7.0,27,5,0,0,0,1,0,0,0,0,5,75
<a href=wins.aspx?date=2016-04-15&team=Royals&dh=0>2016-04-15</a>,KCR,@OAK,1,1,0,1.50,1,1,0,0,0,0,0,6.0,25,3,2,1,1,4,0,0,1,0,2,52
<a href=wins.aspx?date=2016-04-10&team=Royals&dh=0>2016-04-10</a>,KCR,MIN,1,0,0,3.18,1,1,0,0,0,0,0,5.2,25,8,2,2,0,0,0,0,0,0,10,62
<a href=wins.aspx?date=2016-04-03&team=Royals&dh=0>2016-04-03</a>,KCR,NYM,1,1,0,0.00,1,1,0,0,0,0,0,6.0,22,2,0,0,0,3,0,0,0,0,5,71
<a href=wins.aspx?date=2015-10-04&team=Royals&dh=0>2015-10-04</a>,KCR,@MIN,0,0,0,0.00,1,0,0,0,0,0,0,2.0,8,0,0,0,0,2,0,0,0,0,3,
<a href=wins.aspx?date=2015-09-30&team=Royals&dh=0>2015-09-30</a>,KCR,@CHW,1,0,0,1.50,1,1,0,0,0,0,0,6.0,28,9,1,1,0,1,0,0,0,0,5,56
<a href=wins.aspx?date=2015-09-25&team=Royals&dh=0>2015-09-25</a>,KCR,CLE,1,0,1,4.50,1,1,0,0,0,0,0,6.0,24,4,3,3,2,2,0,0,0,0,7,48
<a href=wins.aspx?date=2015-09-19&team=Royals&dh=0>2015-09-19</a>,KCR,@DET,1,0,0,4.50,1,1,0,0,0,0,0,6.0,28,7,3,3,0,4,0,0,0,0,6,49
<a href=wins.aspx?date=2015-09-14&team=Royals&dh=0>2015-09-14</a>,KCR,@CLE,1,0,1,7.20,1,1,0,0,0,0,0,5.0,25,7,4,4,2,3,0,0,0,0,4,28
<a href=wins.aspx?date=2015-09-08&team=Royals&dh=0>2015-09-08</a>,KCR,MIN,1,1,0,2.57,1,1,0,0,0,0,0,7.0,26,6,2,2,0,0,0,1,0,0,3,65
<a href=wins.aspx?date=2015-09-03&team=Royals&dh=0>2015-09-03</a>,KCR,DET,1,0,0,18.00,1,1,0,0,0,0,0,3.0,18,8,6,6,1,1,0,0,0,0,3,17
<a href=wins.aspx?date=2015-08-28&team=Royals&dh=0>2015-08-28</a>,KCR,@TBR,1,1,0,1.35,1,1,0,0,0,0,0,6.2,27,6,2,1,0,2,0,0,0,0,5,61
<a href=wins.aspx?date=2015-08-23&team=Royals&dh=0>2015-08-23</a>,KCR,@BOS,1,0,0,6.75,1,1,0,0,0,0,0,6.2,28,9,6,5,0,0,0,1,0,0,5,47
<a href=wins.aspx?date=2015-08-18&team=Royals&dh=0>2015-08-18</a>,KCR,@CIN,1,0,0,1.50,1,1,0,0,0,0,0,6.0,24,4,1,1,1,3,1,0,0,0,7,58
<a href=wins.aspx?date=2015-08-12&team=Royals&dh=0>2015-08-12</a>,KCR,DET,1,0,1,6.43,1,1,0,0,0,0,0,7.0,30,8,6,5,0,2,0,0,0,0,5,47
<a href=wins.aspx?date=2015-08-07&team=Royals&dh=0>2015-08-07</a>,KCR,CHW,1,1,0,1.29,1,1,0,0,0,0,0,7.0,26,4,1,1,0,2,0,0,0,0,3,68
<a href=wins.aspx?date=2015-08-02&team=Royals&dh=0>2015-08-02</a>,KCR,@TOR,1,0,1,3.00,1,1,0,0,0,0,0,6.0,25,4,2,2,1,3,0,1,0,0,4,52
<a href=wins.aspx?date=2015-07-27&team=Royals&dh=0>2015-07-27</a>,KCR,@CLE,1,1,0,4.50,1,1,0,0,0,0,0,6.0,28,6,3,3,1,5,0,0,0,0,4,41
<a href=wins.aspx?date=2015-07-22&team=Royals&dh=0>2015-07-22</a>,KCR,PIT,1,1,0,1.17,1,1,0,0,0,0,0,7.2,31,8,1,1,0,1,0,0,0,0,8,71
<a href=wins.aspx?date=2015-07-17&team=Royals&dh=2>2015-07-17</a>,KCR,@CHW,1,0,1,2.84,1,1,0,0,0,0,0,6.1,27,8,2,2,0,2,0,0,1,0,3,53
<a href=wins.aspx?date=2015-07-12&team=Royals&dh=0>2015-07-12</a>,KCR,TOR,1,0,0,1.69,1,1,0,0,0,0,0,5.1,23,5,4,1,0,3,0,0,0,0,2,44
<a href=wins.aspx?date=2015-07-07&team=Royals&dh=2>2015-07-07</a>,KCR,TBR,1,0,0,1.80,1,1,0,0,0,0,0,5.0,23,5,1,1,1,3,0,0,0,0,5,48
<a href=wins.aspx?date=2015-07-01&team=Royals&dh=0>2015-07-01</a>,KCR,@HOU,1,0,0,9.00,1,1,0,0,0,0,0,5.0,24,8,5,5,2,1,0,1,0,0,8,31
<a href=wins.aspx?date=2015-06-26&team=Royals&dh=0>2015-06-26</a>,KCR,@OAK,1,1,0,1.29,1,1,0,0,0,0,0,7.0,25,3,1,1,0,1,0,0,0,0,3,72
<a href=wins.aspx?date=2015-06-20&team=Royals&dh=0>2015-06-20</a>,KCR,BOS,1,1,0,6.75,1,1,0,0,0,0,0,5.1,26,8,4,4,1,2,0,0,0,0,0,32
<a href=wins.aspx?date=2015-06-15&team=Royals&dh=0>2015-06-15</a>,KCR,@MIL,1,1,0,3.60,1,1,0,0,0,0,0,5.0,22,6,2,2,0,2,0,1,0,0,2,48
<a href=wins.aspx?date=2015-06-10&team=Royals&dh=0>2015-06-10</a>,KCR,@MIN,1,1,0,1.29,1,1,0,0,0,0,0,7.0,29,6,1,1,0,3,0,0,0,0,6,65
<a href=wins.aspx?date=2015-06-05&team=Royals&dh=0>2015-06-05</a>,KCR,TEX,1,0,1,6.75,1,1,0,0,0,0,0,5.1,26,6,4,4,1,3,0,0,0,0,6,40
<a href=wins.aspx?date=2015-05-29&team=Royals&dh=0>2015-05-29</a>,KCR,@CHC,1,0,0,4.76,1,1,0,0,0,0,0,5.2,24,6,3,3,1,1,0,0,0,0,9,52
