"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value"
"FF","2017-05-20","95.2","-3.0171","4.7197","Justin Smoak",475253,571710,"strikeout","swinging_strike",,,,,"12","Justin Smoak strikes out swinging.  ","R","L","R","BAL","TOR","S","null","null",0,2,2017,"0.6966","1.2035","0.0972","3.8441","null","null","null",2,7,"Top","null","null",,,456078,,"170521_021300",,,,,,,"3.4110","1.5650","null","null","null","93.5340","2264","5.6770",490746,571710,456078,448801,570731,592518,429666,572073,430945,452234,"54.8240","0.000","0.000","0.00",1,0,0
"FF","2017-05-20","94.0","-2.8678","4.6996","Justin Smoak",475253,571710,"null","foul",,,,,"2","null","R","L","R","BAL","TOR","S","null","null",0,2,2017,"1.1919","0.8359","0.2337","3.3367","null","null","null",2,7,"Top","null","null",,,456078,,"170521_021236",,,,,,,"3.7567","1.8627","null","null","null","93.3240","2248","6.0890",490746,571710,456078,448801,570731,592518,429666,572073,430945,452234,"54.4123","0.000","0.000","null","null","null","null"
"FF","2017-05-20","95.4","-3.1053","4.9981","Justin Smoak",475253,571710,"null","foul",,,,,"13","null","R","L","R","BAL","TOR","S","null","null",0,1,2017,"1.1038","0.6859","-1.2113","1.9861","null","null","null",2,7,"Top","null","null",,,456078,,"170521_021211",,,,,,,"3.7783","1.7978","null","null","null","94.1410","2215","5.8770",490746,571710,456078,448801,570731,592518,429666,572073,430945,452234,"54.6244","0.000","0.000","null","null","null","null"
"FF","2017-05-20","95.7","-3.0384","4.6634","Justin Smoak",475253,571710,"null","called_strike",,,,,"7","null","R","L","R","BAL","TOR","S","null","null",0,0,2017,"0.9972","1.3004","-0.4291","1.8288","null","null","null",2,7,"Top","null","null",,,456078,,"170521_021153",,,,,,,"3.7575","1.8411","null","null","null","94.0730","2292","5.6910",490746,571710,456078,448801,570731,592518,429666,572073,430945,452234,"54.8101","0.000","0.000","null","null","null","null"
"FS","2017-05-20","87.0","-2.9343","5.7837","Justin Smoak",475253,592332,"home_run","hit_into_play_score",,,,,"13","Justin Smoak homers (10) on a fly ball to center field.  ","R","L","R","BAL","TOR","X","null","fly_ball",1,2,2017,"1.3012","1.0222","-0.2640","1.6717","null","null","null",1,6,"Top","147.29","32.71",,,456078,,"170521_012618",,,,,,,"3.7042","1.8086","396","103.9","25.4990","85.9630","1667","5.8690",490746,592332,456078,448801,570731,592518,429666,547957,430945,452234,"54.6326","0.887","1.628","2.00",1,0,3
"FF","2017-05-20","96.8","-2.8432","5.9806","Justin Smoak",475253,592332,"null","ball",,,,,"12","null","R","L","R","BAL","TOR","B","null","null",0,2,2017,"1.2473","2.0560","0.0252","4.2934","null","null","null",1,6,"Top","null","null",,,456078,,"170521_012554",,,,,,,"3.7567","1.8294","null","null","null","95.1080","2190","6.0130",490746,592332,456078,448801,570731,592518,429666,547957,430945,452234,"54.4876","0.000","0.000","null","null","null","null"
"SL","2017-05-20","81.7","-2.8851","6.0437","Justin Smoak",475253,592332,"null","foul",,,,,"13","null","R","L","R","BAL","TOR","S","null","null",0,1,2017,"-0.0507","0.3018","-0.2030","1.6856","null","null","null",1,6,"Top","null","null",,,456078,,"170521_012531",,,,,,,"3.7675","1.9276","null","null","null","80.8490","2352","5.9710",490746,592332,456078,448801,570731,592518,429666,547957,430945,452234,"54.5304","0.000","0.000","null","null","null","null"
"FF","2017-05-20","95.0","-2.8106","6.0271","Justin Smoak",475253,592332,"null","called_strike",,,,,"7","null","R","L","R","BAL","TOR","S","null","null",0,0,2017,"0.8768","2.0983","-0.5789","2.3702","null","null","null",1,6,"Top","null","null",,,456078,,"170521_012516",,,,,,,"3.7791","1.8302","null","null","null","93.4450","2316","6.1430",490746,592332,456078,448801,570731,592518,429666,547957,430945,452234,"54.3586","0.000","0.000","null","null","null","null"
"FF","2017-05-20","93.9","-2.7189","6.1215","Justin Smoak",475253,592332,"field_out","hit_into_play",,,,,"5","Justin Smoak flies out to left fielder Hyun Soo Kim.  ","R","L","R","BAL","TOR","X","7","fly_ball",1,0,2017,"1.2229","1.5232","-0.2324","2.5739","null","null","null",0,4,"Top","42.44","83.29",,,456078,,"170521_004356",,,,,,,"3.5490","1.6270","337","94.8","34.6030","92.3670","2192","5.9470",490746,592332,456078,448801,570731,592518,429666,547957,430945,452234,"54.5538","0.148","0.266","0.00",1,0,0
"FF","2017-05-20","94.0","-2.7487","6.1069","Justin Smoak",475253,592332,"null","ball",,,,,"11","null","R","L","R","BAL","TOR","B","null","null",0,0,2017,"0.7953","1.5114","-0.8569","2.8011","null","null","null",0,4,"Top","null","null",,,456078,,"170521_004329",,,,,,,"3.7350","1.8402","null","null","null","92.3490","2079","5.8680",490746,592332,456078,448801,570731,592518,429666,547957,430945,452234,"54.6335","0.000","0.000","null","null","null","null"
