"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value"
"FF","2017-05-19","88.7","1.8953","6.3733","Jorge Polanco",593871,475243,"sac_fly","hit_into_play_score",,,,,"8","Jorge Polanco out on a sacrifice fly to left fielder Alex Gordon.   Joe Mauer scores.  ","R","R","L","MIN","KC","X","7","line_drive",0,1,2017,"-0.2536","2.0183","0.1018","1.7142","408045.00","501303.00","596146.00",0,10,"Bot","70.41","88.91",,,521692,,"170520_033131",,,,,,,"3.4503","1.6304","293","96.5","17.1540","86.4880","2123","5.3380",490723,475243,521692,543333,593160,596144,444876,460086,456715,593528,"55.1595","0.464","0.512","0.00",1,0,0
"FF","2017-05-19","88.9","1.7543","6.3779","Jorge Polanco",593871,475243,"null","called_strike",,,,,"14","null","R","R","L","MIN","KC","S","null","null",0,0,2017,"-0.1090","2.1862","0.9403","2.3952","408045.00","501303.00","596146.00",0,10,"Bot","null","null",,,521692,,"170520_033107",,,,,,,"3.4603","1.8472","null","null","null","86.4540","2199","5.3720",490723,475243,521692,543333,593160,596144,444876,460086,456715,593528,"55.1254","0.000","0.000","null","null","null","null"
"FC","2017-05-19","86.4","1.7467","6.2380","Max Kepler",596146,475243,"walk","ball",,,,,"13","Max Kepler walks.   Joe Mauer to 3rd.    Ehire Adrianza to 2nd.  ","R","L","L","MIN","KC","B","null","null",3,1,2017,"0.2623","1.2917","-1.2180","0.9994","null","408045.00","501303.00",0,10,"Bot","null","null",,,521692,,"170520_033003",,,,,,,"3.7883","1.8450","null","null","null","84.3780","2195","5.3470",490723,475243,521692,543333,593160,596144,444876,460086,456715,593528,"55.1503","0.000","0.000","0.70",1,0,0
"FF","2017-05-19","85.7","1.7776","6.2894","Max Kepler",596146,475243,"null","ball",,,,,"14","null","R","L","L","MIN","KC","B","null","null",2,1,2017,"-0.3127","1.7547","0.4321","1.4938","null","408045.00","501303.00",0,10,"Bot","null","null",,,521692,,"170520_032939",,,,,,,"3.7088","1.7972","null","null","null","83.4950","2066","5.3290",490723,475243,521692,543333,593160,596144,444876,460086,456715,593528,"55.1679","0.000","0.000","null","null","null","null"
"FF","2017-05-19","85.1","1.8176","6.4162","Max Kepler",596146,475243,"null","blocked_ball",,,,,"13","null","R","L","L","MIN","KC","B","null","null",1,1,2017,"-0.1691","1.8576","-0.2135","0.8422","null","408045.00","501303.00",0,10,"Bot","null","null",,,521692,,"170520_032912",,,,,,,"3.7175","1.7865","null","null","null","82.6630","2159","5.2620",490723,475243,521692,543333,593160,596144,444876,460086,456715,593528,"55.2358","0.000","0.000","null","null","null","null"
"FF","2017-05-19","88.1","1.8728","6.3722","Max Kepler",596146,475243,"null","called_strike",,,,,"13","null","R","L","L","MIN","KC","S","null","null",1,0,2017,"-0.5058","2.1654","-1.1195","2.1962","null","408045.00","501303.00",0,10,"Bot","null","null",,,521692,,"170520_032849",,,,,,,"3.6611","1.6918","null","null","null","85.3690","2107","5.3060",490723,475243,521692,543333,593160,596144,444876,460086,456715,593528,"55.1914","0.000","0.000","null","null","null","null"
"FF","2017-05-19","88.2","1.6079","6.3825","Max Kepler",596146,475243,"null","ball",,,,,"13","null","R","L","L","MIN","KC","B","null","null",0,0,2017,"-0.3784","2.1844","-1.0133","1.1059","null","408045.00","501303.00",0,10,"Bot","null","null",,,521692,,"170520_032826",,,,,,,"3.7088","1.7495","null","null","null","85.3620","2132","5.2280",490723,475243,521692,543333,593160,596144,444876,460086,456715,593528,"55.2695","0.000","0.000","null","null","null","null"
"FF","2017-05-19","91.9","-1.2810","5.5754","Ehire Adrianza",501303,456379,"walk","ball",,,,,"12","Ehire Adrianza walks.   Joe Mauer to 2nd.  ","R","L","R","MIN","KC","B","null","null",3,1,2017,"0.9076","1.5905","1.2383","2.5276","null","null","408045.00",0,10,"Bot","null","null",,,521692,,"170520_032458",,,,,,,"3.2466","1.6199","null","null","null","90.6980","2230","5.9390",490723,456379,521692,543333,593160,596144,444876,460086,456715,593528,"54.5585","0.000","0.000","0.70",1,0,0
"FF","2017-05-19","91.7","-1.1673","5.9407","Ehire Adrianza",501303,456379,"null","called_strike",,,,,"3","null","R","L","R","MIN","KC","S","null","null",3,0,2017,"0.4988","2.1774","0.7290","3.2676","null","null","408045.00",0,10,"Bot","null","null",,,521692,,"170520_032440",,,,,,,"3.2944","1.5404","null","null","null","89.8550","2212","5.7450",490723,456379,521692,543333,593160,596144,444876,460086,456715,593528,"54.7527","0.000","0.000","null","null","null","null"
"FT","2017-05-19","91.2","-1.3243","5.8789","Ehire Adrianza",501303,456379,"null","ball",,,,,"11","null","R","L","R","MIN","KC","B","null","null",2,0,2017,"1.6658","1.3596","-1.5324","2.7527","null","null","408045.00",0,10,"Bot","null","null",,,521692,,"170520_032426",,,,,,,"3.1512","1.4131","null","null","null","89.4740","2127","5.6700",490723,456379,521692,543333,593160,596144,444876,460086,456715,593528,"54.8269","0.000","0.000","null","null","null","null"
"FF","2017-05-19","90.6","-1.1218","5.7765","Ehire Adrianza",501303,456379,"null","ball",,,,,"11","null","R","L","R","MIN","KC","B","null","null",1,0,2017,"0.5453","1.7205","-0.3993","3.8394","null","null","408045.00",0,10,"Bot","null","null",,,521692,,"170520_032403",,,,,,,"3.2148","1.5245","null","null","null","89.8350","2155","6.1660",490723,456379,521692,543333,593160,596144,444876,460086,456715,593528,"54.3317","0.000","0.000","null","null","null","null"
"FF","2017-05-19","91.8","-1.2688","5.7288","Ehire Adrianza",501303,456379,"null","ball",,,,,"11","null","R","L","R","MIN","KC","B","null","null",0,0,2017,"0.5315","1.7732","-0.5400","4.3282","null","null","408045.00",0,10,"Bot","null","null",,,521692,,"170520_032342",,,,,,,"3.1989","1.5085","null","null","null","90.3180","2333","5.7520",490723,456379,521692,543333,593160,596144,444876,460086,456715,593528,"54.7458","0.000","0.000","null","null","null","null"
"FF","2017-05-19","90.3","-1.2699","5.6146","Joe Mauer",408045,456379,"walk","ball",,,,,"11","Joe Mauer walks.  ","R","L","R","MIN","KC","B","null","null",3,0,2017,"1.3226","1.2947","-0.9096","3.2156","null","null","null",0,10,"Bot","null","null",,,521692,,"170520_032223",,,,,,,"3.7370","1.9349","null","null","null","89.6830","2025","6.0460",490723,456379,521692,543333,593160,596144,444876,460086,456715,593528,"54.4511","0.000","0.000","0.70",1,0,0
"SL","2017-05-19","86.2","-1.0089","5.8122","Joe Mauer",408045,456379,"null","ball",,,,,"14","null","R","L","R","MIN","KC","B","null","null",2,0,2017,"-0.0740","1.1920","1.1725","0.4465","null","null","null",0,10,"Bot","null","null",,,521692,,"170520_032203",,,,,,,"3.7211","1.9349","null","null","null","85.1870","2231","6.0200",490723,456379,521692,543333,593160,596144,444876,460086,456715,593528,"54.4778","0.000","0.000","null","null","null","null"
"FF","2017-05-19","92.5","-1.3234","5.7727","Joe Mauer",408045,456379,"null","ball",,,,,"11","null","R","L","R","MIN","KC","B","null","null",1,0,2017,"1.3699","1.4990","-1.1015","3.9181","null","null","null",0,10,"Bot","null","null",,,521692,,"170520_032142",,,,,,,"3.6575","1.8713","null","null","null","91.1110","2253","5.6960",490723,456379,521692,543333,593160,596144,444876,460086,456715,593528,"54.8010","0.000","0.000","null","null","null","null"
"FF","2017-05-19","90.7","-1.0678","5.9260","Joe Mauer",408045,456379,"null","ball",,,,,"13","null","R","L","R","MIN","KC","B","null","null",0,0,2017,"1.4688","1.5267","-0.0494","1.6791","null","null","null",0,10,"Bot","null","null",,,521692,,"170520_032125",,,,,,,"3.7211","1.9031","null","null","null","89.3340","2243","5.7830",490723,456379,521692,543333,593160,596144,444876,460086,456715,593528,"54.7145","0.000","0.000","null","null","null","null"
"CH","2017-05-19","88.0","-2.3190","5.8419","Robbie Grossman",543257,516969,"strikeout","swinging_strike_blocked",,,,,"13","Robbie Grossman strikes out swinging, catcher Salvador Perez to first baseman Eric Hosmer.  ","R","L","R","MIN","KC","S","null","null",0,2,2017,"1.3633","0.8116","-1.2140","0.6219","null","null","572821.00",2,9,"Bot","null","null",,,521692,,"170520_030417",,,,,,,"3.3903","1.5704","null","null","null","88.0880","1756","6.3010",490723,516969,521692,543333,593160,596144,444876,460086,456715,593528,"54.1961","0.000","0.000","0.00",1,0,0
"FF","2017-05-19","95.7","-1.6315","6.4169","Robbie Grossman",543257,516969,"null","foul_tip",,,,,"4","null","R","L","R","MIN","KC","S","null","null",0,1,2017,"0.9414","1.8826","-0.6927","2.1498","null","null","572821.00",2,9,"Bot","null","null",,,521692,,"170520_030349",,,,,,,"3.3603","1.5604","null","null","null","94.5670","2105","5.7760",490723,516969,521692,543333,593160,596144,444876,460086,456715,593528,"54.7215","0.000","0.000","null","null","null","null"
"FF","2017-05-19","97.1","-1.6135","6.3104","Robbie Grossman",543257,516969,"null","called_strike",,,,,"13","null","R","L","R","MIN","KC","S","null","null",0,0,2017,"0.8318","1.8729","-0.9667","2.5024","null","null","572821.00",2,9,"Bot","null","null",,,521692,,"170520_030329",,,,,,,"3.5611","1.7831","null","null","null","96.1360","2245","5.7730",490723,516969,521692,543333,593160,596144,444876,460086,456715,593528,"54.7246","0.000","0.000","null","null","null","null"
"SL","2017-05-19","86.3","-2.0208","5.9173","Brian Dozier",572821,516969,"single","hit_into_play_no_out",,,,,"5","Brian Dozier singles on a ground ball to center fielder Lorenzo Cain.  ","R","R","R","MIN","KC","X","null","ground_ball",1,2,2017,"-0.6744","0.3920","0.1600","2.3908","null","null","null",2,9,"Bot","113.72","111.50",,,521692,,"170520_030221",,,,,,,"2.9403","1.2604","54","90.0","1.5370","84.8590","2388","5.6060",490723,516969,521692,543333,593160,596144,444876,460086,456715,593528,"54.8911","0.404","0.380","0.90",1,1,0
"FF","2017-05-19","97.9","-2.0302","6.0581","Brian Dozier",572821,516969,"null","foul",,,,,"3","null","R","R","R","MIN","KC","S","null","null",1,1,2017,"0.6506","2.1045","0.4037","2.8268","null","null","null",2,9,"Bot","null","null",,,521692,,"170520_030159",,,,,,,"2.9403","1.2604","null","null","null","96.5820","2347","5.9290",490723,516969,521692,543333,593160,596144,444876,460086,456715,593528,"54.5684","0.000","0.000","null","null","null","null"
"SL","2017-05-19","85.1","-1.9970","6.0638","Brian Dozier",572821,516969,"null","called_strike",,,,,"2","null","R","R","R","MIN","KC","S","null","null",1,0,2017,"-1.0956","0.9241","-0.0280","2.8429","null","null","null",2,9,"Bot","null","null",,,521692,,"170520_030134",,,,,,,"3.0098","1.4673","null","null","null","83.1700","2564","5.3770",490723,516969,521692,543333,593160,596144,444876,460086,456715,593528,"55.1205","0.000","0.000","null","null","null","null"
"FF","2017-05-19","98.2","-2.0974","5.8554","Brian Dozier",572821,516969,"null","ball",,,,,"12","null","R","R","R","MIN","KC","B","null","null",0,0,2017,"0.6625","1.7828","0.2188","3.8529","null","null","null",2,9,"Bot","null","null",,,521692,,"170520_030117",,,,,,,"3.0357","1.4832","null","null","null","97.4460","2372","6.2090",490723,516969,521692,543333,593160,596144,444876,460086,456715,593528,"54.2878","0.000","0.000","null","null","null","null"
"FT","2017-05-19","92.2","-2.1626","5.8304","Eduardo Escobar",500871,516969,"field_out","hit_into_play",,,,,"13","Eduardo Escobar flies out to left fielder Alex Gordon.  ","R","L","R","MIN","KC","X","7","fly_ball",1,2,2017,"1.6027","0.9192","-1.4466","1.8802","null","null","null",1,9,"Bot","59.97","104.72",,,521692,,"170520_030042",,,,,,,"3.6762","1.5044","279","83.5","36.4050","92.3120","1786","6.4660",490723,516969,521692,543333,593160,596144,444876,460086,456715,593528,"54.0316","0.013","0.016","0.00",1,0,0
"FF","2017-05-19","97.3","-1.6108","6.2719","Eduardo Escobar",500871,516969,"null","foul",,,,,"11","null","R","L","R","MIN","KC","S","null","null",1,2,2017,"1.0176","1.7017","-1.2816","2.5668","null","null","null",1,9,"Bot","null","null",,,521692,,"170520_030010",,,,,,,"3.1503","1.3904","null","null","null","97.1350","2200","6.3600",490723,516969,521692,543333,593160,596144,444876,460086,456715,593528,"54.1374","0.000","0.000","null","null","null","null"
"FT","2017-05-19","97.5","-2.0016","6.0372","Eduardo Escobar",500871,516969,"null","swinging_strike",,,,,"7","null","R","L","R","MIN","KC","S","null","null",1,1,2017,"1.2851","1.5704","-0.5419","1.7651","null","null","null",1,9,"Bot","null","null",,,521692,,"170520_025945",,,,,,,"3.1503","1.3904","null","null","null","97.3570","2207","6.3960",490723,516969,521692,543333,593160,596144,444876,460086,456715,593528,"54.1017","0.000","0.000","null","null","null","null"
"FF","2017-05-19","98.1","-1.7598","6.1318","Eduardo Escobar",500871,516969,"null","ball",,,,,"11","null","R","L","R","MIN","KC","B","null","null",0,1,2017,"1.0086","1.5439","-1.5048","2.8444","null","null","null",1,9,"Bot","null","null",,,521692,,"170520_025929",,,,,,,"3.2734","1.5813","null","null","null","98.0330","2171","6.4290",490723,516969,521692,543333,593160,596144,444876,460086,456715,593528,"54.0683","0.000","0.000","null","null","null","null"
"FT","2017-05-19","98.3","-2.0624","6.1511","Eduardo Escobar",500871,516969,"null","swinging_strike",,,,,"11","null","R","L","R","MIN","KC","S","null","null",0,0,2017,"1.2688","1.3905","-1.2768","2.4301","null","null","null",1,9,"Bot","null","null",,,521692,,"170520_025856",,,,,,,"3.1503","1.3904","null","null","null","98.1450","2257","6.3630",490723,516969,521692,543333,593160,596144,444876,460086,456715,593528,"54.1348","0.000","0.000","null","null","null","null"
"CH","2017-05-19","89.9","-2.1818","5.7489","Kennys Vargas",573627,516969,"home_run","hit_into_play_score",,,,,"13","Kennys Vargas homers (5) on a fly ball to right center field.    Jason Castro scores.  ","R","L","R","MIN","KC","X","null","fly_ball",1,0,2017,"1.2664","0.7643","-0.8534","2.5104","null","null","488771.00",1,9,"Bot","175.68","14.30",,,521692,,"170520_025811",,,,,,,"3.6902","1.6904","438","108.4","26.3740","89.8140","1789","6.3770",490723,516969,521692,543333,593160,596144,444876,460086,456715,593528,"54.1207","0.973","1.910","2.00",1,0,3
"FT","2017-05-19","92.1","-2.2602","5.8718","Kennys Vargas",573627,516969,"null","ball",,,,,"11","null","R","L","R","MIN","KC","B","null","null",0,0,2017,"1.1813","1.1933","-1.0516","3.0452","null","null","488771.00",1,9,"Bot","null","null",,,521692,,"170520_025744",,,,,,,"3.9287","1.9608","null","null","null","91.6010","1831","6.1100",490723,516969,521692,543333,593160,596144,444876,460086,456715,593528,"54.3878","0.000","0.000","null","null","null","null"
"FT","2017-05-19","91.5","-2.2670","5.7882","Jason Castro",488771,516969,"single","hit_into_play_no_out",,,,,"13","Jason Castro singles on a line drive to center fielder Lorenzo Cain.  ","R","L","R","MIN","KC","X","null","line_drive",0,1,2017,"1.5532","1.3092","-0.8683","1.6735","null","null","null",1,9,"Bot","126.99","106.76",,,521692,,"170520_025702",,,,,,,"3.6802","1.6704","111","76.0","9.7210","91.0350","1745","6.4840",490723,516969,521692,543333,593160,596144,444876,460086,456715,593528,"54.0132","0.418","0.387","0.90",1,1,0
"FF","2017-05-19","97.3","-1.8770","6.0245","Jason Castro",488771,516969,"null","swinging_strike",,,,,"5","null","R","L","R","MIN","KC","S","null","null",0,0,2017,"0.7666","1.8324","-0.0807","2.9730","null","null","null",1,9,"Bot","null","null",,,521692,,"170520_025632",,,,,,,"3.6802","1.6704","null","null","null","96.9490","2358","6.4610",490723,516969,521692,543333,593160,596144,444876,460086,456715,593528,"54.0365","0.000","0.000","null","null","null","null"
